Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
North Dakota,70.65%,402,"$403,310,340",5.06%,-13.97%
Adams County,100.00%,1,"$838,826",-2.59%,-5.50%
Barnes County,60.00%,5,"$3,063,538",5.43%,-24.57%
Benson County,66.67%,3,"$15,522,356",17.98%,-35.71%
Billings County,0.00%,1,"$360,000",27.59%,25.03%
Bottineau County,100.00%,4,"$598,176",-2.35%,-30.54%
Bowman County,80.00%,5,"$1,325,505",-8.06%,-29.79%
Burleigh County,69.35%,62,"$79,239,830",4.06%,-20.84%
Cass County,68.18%,66,"$60,423,539",8.35%,-6.85%
Cavalier County,40.00%,5,"$648,883",17.36%,0.72%
Dickey County,50.00%,4,"$561,990",14.44%,10.04%
Divide County,100.00%,1,"$144,770",33.33%,-10.60%
Dunn County,25.00%,4,"$918,829",30.33%,21.89%
Eddy County,100.00%,2,"$113,327",1.57%,-14.97%
Emmons County,66.67%,3,"$1,149,972",4.85%,-3.79%
Foster County,50.00%,2,"$415,717",-8.32%,-16.38%
Golden Valley County,100.00%,2,"$184,389",11.60%,-28.88%
Grand Forks County,73.17%,41,"$45,083,159",0.00%,-17.35%
Grant County,75.00%,4,"$296,767",10.48%,-3.44%
Griggs County,50.00%,2,"$1,461,169",12.12%,-1.14%
Kidder County,100.00%,1,"$5,000",-12.52%,-13.56%
LaMoure County,50.00%,4,"$533,136",-3.37%,-39.77%
Logan County,100.00%,2,"$58,179",-3.67%,-16.42%
McHenry County,100.00%,1,"$46,592",-2.06%,-2.89%
McIntosh County,100.00%,2,"$1,133,376",-1.09%,-6.79%
McKenzie County,62.50%,8,"$11,986,363",15.61%,-7.46%
McLean County,50.00%,4,"$5,579,344",26.05%,-15.86%
Mercer County,83.33%,6,"$6,522,289",3.74%,-25.51%
Morton County,80.00%,10,"$3,760,910",2.68%,-17.00%
Mountrail County,50.00%,2,"$378,779",13.06%,-30.02%
Nelson County,75.00%,4,"$379,406",29.41%,-14.62%
Pembina County,54.55%,11,"$2,666,279",13.57%,-9.60%
Pierce County,50.00%,4,"$2,428,064",12.01%,-15.78%
Ramsey County,80.00%,10,"$4,498,174",1.64%,-27.69%
Ransom County,75.00%,4,"$458,215",5.89%,-21.40%
Renville County,100.00%,1,"$54,917",-10.23%,-24.67%
Richland County,54.55%,11,"$6,185,768",6.39%,-10.05%
Rolette County,100.00%,7,"$38,062,789",1.49%,-46.33%
Sargent County,100.00%,1,"$213,230",-5.53%,-30.90%
Sioux County,100.00%,2,"$14,812,183",3.92%,-87.87%
Stark County,80.95%,21,"$25,157,367",0.93%,-44.20%
Steele County,100.00%,1,"$25,773",-3.95%,-14.68%
Stutsman County,60.00%,10,"$5,738,532",3.22%,-22.88%
Towner County,50.00%,2,"$3,039,174",37.97%,25.20%
Traill County,75.00%,4,"$456,875",-1.37%,-3.01%
Walsh County,70.00%,10,"$2,627,105",8.39%,-3.11%
Ward County,81.48%,27,"$36,519,179",-0.03%,-53.27%
Wells County,66.67%,3,"$904,567",2.94%,-22.17%
Williams County,66.67%,12,"$16,728,033",14.85%,-2.05%
