Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Tennessee,78.84%,"1,838","$3,839,141,532",4.64%,-26.86%
Anderson County,94.12%,17,"$20,373,457",6.72%,-28.85%
Bedford County,80.00%,5,"$5,266,006",0.86%,-63.31%
Benton County,100.00%,3,"$2,768,684",45.90%,-35.91%
Blount County,85.71%,21,"$14,262,262",1.25%,-19.16%
Bradley County,76.92%,26,"$64,069,995",7.62%,-16.19%
Campbell County,71.43%,7,"$9,275,084",13.36%,-45.16%
Cannon County,50.00%,2,"$372,330",30.21%,-11.97%
Carroll County,66.67%,3,"$8,482,751",1.11%,-2.75%
Carter County,63.64%,11,"$1,830,380",7.48%,-13.77%
Cheatham County,80.00%,5,"$1,369,140",4.49%,-45.10%
Chester County,75.00%,4,"$2,390,202",7.71%,-28.26%
Claiborne County,20.00%,5,"$4,484,038",16.38%,15.35%
Cocke County,80.00%,5,"$5,108,164",9.22%,-22.16%
Coffee County,73.33%,15,"$14,407,119",12.05%,-35.96%
Crockett County,33.33%,3,"$408,520",25.22%,2.92%
Cumberland County,75.00%,16,"$14,784,734",5.28%,-15.15%
Davidson County,75.00%,336,"$1,553,942,683",6.75%,-23.91%
DeKalb County,75.00%,4,"$257,691",-5.16%,-14.47%
Decatur County,100.00%,4,"$6,066,378",2.66%,-62.79%
Dickson County,83.33%,6,"$3,284,746",12.04%,-22.73%
Dyer County,85.71%,7,"$6,837,074",18.14%,-24.14%
Fayette County,66.67%,3,"$575,427",19.83%,-26.78%
Franklin County,55.56%,9,"$3,836,488",7.84%,-28.87%
Gibson County,100.00%,3,"$499,140",1.67%,-3.11%
Giles County,83.33%,6,"$507,456",-10.98%,-41.86%
Grainger County,100.00%,1,"$1,965,036",17.72%,-66.08%
Greene County,81.82%,11,"$4,676,244",-6.16%,-44.95%
Grundy County,50.00%,4,"$370,860",23.48%,2.44%
Hamblen County,93.10%,58,"$53,084,397",-13.08%,-53.62%
Hamilton County,79.41%,136,"$205,681,566",4.94%,-14.34%
Hardeman County,100.00%,2,"$4,676,182",30.33%,-38.02%
Hardin County,66.67%,6,"$4,212,399",8.80%,-2.92%
Hawkins County,71.43%,7,"$9,124,560",1.62%,-6.25%
Haywood County,100.00%,1,"$63,413",-8.04%,-86.06%
Henderson County,66.67%,3,"$28,339",17.11%,-7.14%
Henry County,90.91%,11,"$9,526,599",4.08%,-62.88%
Hickman County,100.00%,5,"$1,379,303",17.79%,-54.46%
Houston County,100.00%,2,"$4,462,223",6.82%,-75.44%
