Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.41%,156,"$31,834,218",7.55%,-39.49%
$10M or more,80.77%,52,"$884,035,135",0.43%,-15.13%
$1M to $4.9M,88.48%,165,"$179,486,714",5.33%,-40.05%
$500K to $999K,82.19%,73,"$37,778,921",13.03%,-39.52%
$5M to $9.9M,81.58%,38,"$141,672,803",1.91%,-49.69%
Less than $100K,69.70%,33,"$3,832,762",49.15%,-17.67%
Total,82.98%,517,"$1,278,640,553",6.02%,-38.49%
