Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",68.93%,309,"$176,078,619",2.23%,-16.00%
Education,87.42%,445,"$1,166,206,070",4.01%,-64.30%
Environment and animals,59.65%,114,"$363,483,884",7.98%,-9.78%
Health,85.00%,320,"$795,722,099",2.22%,-27.31%
Hospitals,68.29%,41,"$547,537,556",1.68%,-6.19%
Human services,81.40%,"1,274","$2,241,915,338",1.79%,-37.40%
"International, foreign affairs",81.82%,11,"$2,227,898",5.30%,-55.67%
Mutual/membership benefit,100.00%,2,"$2,471,398",24.74%,-70.09%
"Public, societal benefit",81.15%,313,"$11,752,929,939",5.22%,-33.83%
Religion-related,82.93%,82,"$59,922,330",-2.44%,-42.50%
Unclassified,81.37%,757,"$1,908,569,030",1.68%,-27.32%
Universities,78.72%,47,"$504,185,431",-0.18%,-5.58%
Total,80.57%,"3,715","$19,521,249,592",2.58%,-29.68%
