Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.56%,274,"$34,386,534",2.67%,-32.83%
$10M or more,79.05%,148,"$534,739,122",0.19%,-8.73%
$1M to $4.9M,86.24%,218,"$216,821,459",0.76%,-34.32%
$500K to $999K,75.00%,120,"$32,992,031",2.76%,-21.06%
$5M to $9.9M,79.69%,64,"$151,856,500",2.08%,-20.29%
Less than $100K,61.54%,52,"$3,895,512",28.11%,-5.60%
Total,79.45%,876,"$974,691,158",1.59%,-21.02%
