Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
New York,80.40%,"7,690","$30,476,152,209",1.54%,-23.53%
10th Congressional district,79.64%,894,"$6,719,979,187",1.07%,-22.13%
11th Congressional district,86.09%,115,"$290,173,651",4.55%,-43.04%
12th Congressional district,75.45%,949,"$6,557,477,736",0.44%,-17.84%
13th Congressional district,84.44%,360,"$2,400,422,578",0.14%,-35.64%
14th Congressional district,86.29%,124,"$603,730,184",1.88%,-28.60%
15th Congressional district,90.37%,187,"$1,670,853,506",0.65%,-50.23%
16th Congressional district,76.33%,245,"$753,917,758",2.26%,-14.56%
17th Congressional district,82.35%,289,"$426,041,602",2.82%,-18.69%
18th Congressional district,72.96%,270,"$343,634,074",2.26%,-16.68%
19th Congressional district,77.80%,437,"$411,200,096",2.41%,-21.06%
1st Congressional district,73.91%,207,"$261,435,351",2.69%,-15.51%
20th Congressional district,81.07%,412,"$2,136,734,084",1.88%,-25.31%
21st Congressional district,79.47%,380,"$415,091,275",2.10%,-21.02%
22nd Congressional district,83.52%,358,"$687,611,582",1.79%,-23.19%
23rd Congressional district,82.07%,290,"$303,380,690",1.39%,-21.69%
24th Congressional district,80.50%,318,"$282,211,525",2.80%,-30.13%
25th Congressional district,78.11%,297,"$1,115,552,292",1.52%,-19.63%
26th Congressional district,86.21%,348,"$686,815,524",0.48%,-22.86%
2nd Congressional district,82.67%,150,"$281,591,089",2.05%,-50.41%
3rd Congressional district,72.92%,192,"$639,939,335",2.49%,-12.48%
4th Congressional district,83.20%,125,"$457,130,905",1.00%,-24.89%
5th Congressional district,91.82%,110,"$716,066,653",2.04%,-53.58%
6th Congressional district,84.31%,102,"$302,576,966",1.62%,-35.02%
7th Congressional district,81.61%,223,"$730,146,252",1.59%,-22.90%
8th Congressional district,90.58%,138,"$790,842,589",0.34%,-54.04%
9th Congressional district,81.18%,170,"$491,595,725",0.51%,-30.19%
