Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Florida,79.51%,"3,744","$15,005,774,515",2.55%,-29.92%
10th Congressional district,71.36%,206,"$979,706,427",4.79%,-18.75%
11th Congressional district,69.35%,62,"$224,718,357",8.26%,-12.26%
12th Congressional district,84.81%,79,"$259,868,674",1.11%,-58.77%
13th Congressional district,75.86%,145,"$657,400,648",1.53%,-26.26%
14th Congressional district,81.53%,249,"$1,419,494,367",0.41%,-32.92%
15th Congressional district,76.04%,96,"$485,521,811",2.75%,-22.21%
16th Congressional district,77.92%,77,"$154,664,381",2.84%,-16.48%
17th Congressional district,73.05%,141,"$236,276,850",3.24%,-22.46%
18th Congressional district,78.40%,125,"$313,486,820",3.76%,-22.28%
19th Congressional district,65.44%,136,"$309,940,864",5.96%,-15.85%
1st Congressional district,87.72%,114,"$485,772,117",2.65%,-26.89%
20th Congressional district,77.37%,137,"$896,104,222",2.55%,-37.85%
21st Congressional district,73.85%,130,"$389,070,169",4.84%,-18.74%
22nd Congressional district,79.55%,132,"$511,492,038",3.15%,-28.85%
23rd Congressional district,78.68%,136,"$416,972,665",0.68%,-24.98%
24th Congressional district,84.67%,150,"$277,809,862",2.76%,-43.75%
25th Congressional district,84.42%,77,"$265,902,298",1.75%,-32.46%
26th Congressional district,79.21%,101,"$612,634,763",5.52%,-36.09%
27th Congressional district,83.11%,219,"$2,001,533,347",2.14%,-41.61%
28th Congressional district,87.85%,107,"$182,271,511",3.61%,-38.64%
2nd Congressional district,88.72%,257,"$1,260,173,065",0.55%,-58.35%
3rd Congressional district,81.58%,190,"$396,419,495",2.58%,-31.87%
4th Congressional district,79.71%,138,"$337,782,098",1.49%,-30.41%
5th Congressional district,77.12%,153,"$807,461,309",3.36%,-18.94%
6th Congressional district,81.51%,119,"$384,188,027",0.96%,-33.30%
7th Congressional district,76.92%,78,"$129,298,834",0.33%,-22.49%
8th Congressional district,81.82%,143,"$366,946,856",3.38%,-29.49%
9th Congressional district,78.72%,47,"$242,862,640",5.29%,-51.92%
