Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,81.48%,567,"$72,046,646",4.23%,-36.66%
$10M or more,69.88%,259,"$2,118,374,484",1.66%,-12.34%
$1M to $4.9M,78.26%,460,"$451,832,635",3.36%,-27.82%
$500K to $999K,79.33%,300,"$81,749,066",1.97%,-27.87%
$5M to $9.9M,81.25%,144,"$496,719,847",2.65%,-33.26%
Less than $100K,55.70%,79,"$6,514,109",37.82%,-3.97%
Total,77.50%,"1,809","$3,227,236,787",3.09%,-25.54%
