Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",78.64%,103,"$43,844,511",3.35%,-20.04%
Education,95.48%,155,"$848,050,537",7.21%,-83.22%
Environment and animals,71.74%,46,"$29,405,539",3.87%,-14.87%
Health,71.43%,56,"$219,185,871",9.01%,-26.14%
Hospitals,50.00%,4,"$58,119,816",6.00%,-15.68%
Human services,83.64%,165,"$287,253,245",1.55%,-50.43%
"International, foreign affairs",28.57%,7,"$980,252",24.91%,7.69%
Mutual/membership benefit,100.00%,1,"$164,862",-7.51%,-80.73%
"Public, societal benefit",76.32%,38,"$17,883,580",12.11%,-23.80%
Religion-related,50.00%,2,"$353,802",26.38%,24.36%
Unclassified,75.89%,112,"$243,165,904",5.82%,-21.77%
Universities,100.00%,2,"$10,549,387",-1.95%,-10.30%
Total,81.33%,691,"$1,758,957,306",5.36%,-35.15%
