Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",69.84%,63,"$28,191,217",2.30%,-15.79%
Education,83.12%,77,"$235,485,954",4.24%,-49.32%
Environment and animals,76.47%,17,"$11,182,220",-0.18%,-41.82%
Health,77.42%,62,"$136,177,573",9.43%,-21.67%
Hospitals,66.67%,9,"$14,689,099",12.25%,-13.14%
Human services,84.28%,299,"$259,478,034",3.43%,-42.19%
"International, foreign affairs",60.00%,5,"$5,639,738",1.70%,-25.93%
"Public, societal benefit",85.71%,56,"$37,626,348",1.52%,-40.98%
Religion-related,69.23%,13,"$23,503,806",0.01%,-22.59%
Unclassified,84.13%,208,"$637,582,579",4.97%,-41.26%
Universities,75.00%,8,"$18,593,964",-0.89%,-3.48%
Total,81.76%,817,"$1,408,150,532",4.27%,-37.78%
