Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",79.31%,29,"$4,252,646",-4.55%,-23.34%
Education,76.92%,26,"$34,840,812",6.58%,-40.62%
Environment and animals,55.56%,18,"$3,122,934",16.28%,-9.55%
Health,87.50%,24,"$27,412,462",1.89%,-42.08%
Hospitals,50.00%,2,"$1,778,910",-2.73%,-4.33%
Human services,82.46%,114,"$98,399,869",4.01%,-38.48%
"International, foreign affairs",100.00%,1,"$5,500",-4.49%,-6.25%
"Public, societal benefit",75.00%,24,"$8,798,728",4.14%,-27.68%
Religion-related,100.00%,1,"$490,230",11.77%,-32.49%
Unclassified,89.58%,96,"$104,874,357",0.98%,-51.79%
Universities,100.00%,1,"$770,293",-12.21%,-34.52%
Total,82.14%,336,"$284,746,741",3.04%,-36.51%
