Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Louisiana,82.47%,"1,084","$2,972,661,295",1.87%,-44.78%
Acadia Parish,83.33%,6,"$3,820,548",4.01%,-35.16%
Allen Parish,100.00%,4,"$3,174,510",-9.91%,-105.19%
Ascension Parish,100.00%,6,"$2,825,533",13.15%,-23.29%
Assumption Parish,100.00%,5,"$16,658,072",28.30%,-35.36%
Avoyelles Parish,100.00%,9,"$6,973,790",4.17%,-68.27%
Beauregard Parish,100.00%,4,"$1,420,524",1.62%,-88.54%
Bienville Parish,100.00%,3,"$898,631",-41.59%,-93.32%
Bossier Parish,84.62%,13,"$25,720,530",4.04%,-57.12%
Caddo Parish,74.65%,71,"$71,611,070",2.44%,-24.80%
Calcasieu Parish,63.89%,36,"$76,554,131",4.74%,-6.84%
Cameron Parish,100.00%,1,"$826,364",37.61%,-21.46%
Catahoula Parish,100.00%,1,"$8,778,473",0.19%,-86.09%
Claiborne Parish,100.00%,3,"$3,508,475",7.35%,-85.15%
Concordia Parish,100.00%,7,"$7,902,149",-62.64%,-111.20%
De Soto Parish,50.00%,2,"$2,402,922",6.24%,-31.15%
East Baton Rouge Parish,83.12%,154,"$403,680,625",3.01%,-33.17%
East Carroll Parish,50.00%,2,"$528,439",9.14%,-32.98%
East Feliciana Parish,50.00%,2,"$7,893,583",-0.58%,-21.09%
Evangeline Parish,100.00%,6,"$2,176,815",-11.98%,-90.02%
Franklin Parish,80.00%,5,"$489,208",2.47%,-9.79%
Grant Parish,100.00%,1,"$279,969",-16.89%,-110.41%
Iberia Parish,80.00%,5,"$6,694,016",-9.37%,-63.80%
Iberville Parish,100.00%,5,"$3,893,661",-3.83%,-70.39%
Jackson Parish,66.67%,3,"$3,635,313",-1.18%,-34.98%
Jefferson Davis Parish,100.00%,4,"$1,756,728",0.28%,-79.61%
Jefferson Parish,90.28%,72,"$363,627,885",2.60%,-47.08%
LaSalle Parish,100.00%,2,"$383,006",-28.79%,-108.28%
Lafayette Parish,87.23%,94,"$117,882,787",-3.85%,-69.27%
Lafourche Parish,78.26%,23,"$17,532,534",8.48%,-33.53%
Lincoln Parish,60.00%,15,"$9,802,768",7.98%,-12.96%
Livingston Parish,83.33%,6,"$6,797,165",-3.53%,-102.31%
Madison Parish,100.00%,4,"$9,735,287",-0.80%,-77.74%
Morehouse Parish,100.00%,4,"$9,165,034",1.45%,-52.91%
Natchitoches Parish,100.00%,11,"$7,268,636",-2.29%,-91.04%
Orleans Parish,81.85%,259,"$1,414,299,807",2.34%,-30.55%
Ouachita Parish,85.00%,40,"$51,610,467",1.05%,-72.69%
Plaquemines Parish,100.00%,2,"$8,305,226",13.72%,-45.59%
Pointe Coupee Parish,100.00%,3,"$4,671,093",12.73%,-23.09%
Rapides Parish,83.87%,31,"$40,694,058",3.09%,-68.07%
Red River Parish,100.00%,2,"$890,129",4.53%,-36.29%
Richland Parish,50.00%,4,"$11,166,238",8.76%,-39.63%
Sabine Parish,100.00%,2,"$4,077,774",-1.44%,-92.21%
St. Bernard Parish,100.00%,4,"$3,032,413",2.83%,-39.80%
St. Charles Parish,62.50%,8,"$13,750,901",4.73%,-12.99%
St. James Parish,0.00%,1,"$266,433",19.58%,13.45%
St. John the Baptist Parish,60.00%,5,"$2,276,901",16.63%,-26.39%
St. Landry Parish,86.67%,15,"$15,117,261",2.29%,-61.92%
St. Martin Parish,50.00%,4,"$610,475",8.55%,-8.61%
St. Mary Parish,77.78%,9,"$24,324,485",0.28%,-47.09%
St. Tammany Parish,71.88%,32,"$34,264,128",3.22%,-26.51%
Tangipahoa Parish,89.47%,19,"$53,988,072",1.63%,-75.10%
Tensas Parish,100.00%,1,"$219,771",-18.51%,-71.82%
Terrebonne Parish,81.82%,22,"$51,249,583",0.57%,-80.24%
Union Parish,66.67%,6,"$3,749,447",7.45%,-23.68%
Vermilion Parish,50.00%,2,"$396,750",8.13%,-43.65%
Vernon Parish,100.00%,2,"$1,656,949",9.97%,-74.05%
Washington Parish,88.89%,9,"$12,218,980",0.30%,-95.19%
Webster Parish,75.00%,4,"$4,552,810",6.97%,-41.35%
West Baton Rouge Parish,50.00%,2,"$55,110",15.00%,10.55%
West Carroll Parish,100.00%,3,"$936,739",-0.02%,-63.39%
West Feliciana Parish,100.00%,2,"$656,133",19.56%,-56.72%
Winn Parish,100.00%,2,"$7,323,981",-3.45%,-65.48%
