Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,83.12%,397,"$57,442,811",5.38%,-45.71%
$10M or more,81.61%,87,"$1,725,032,334",2.15%,-27.29%
$1M to $4.9M,83.96%,268,"$285,833,899",2.60%,-37.22%
$500K to $999K,80.95%,210,"$76,434,045",4.67%,-26.67%
$5M to $9.9M,72.13%,61,"$202,877,251",4.84%,-18.02%
Less than $100K,72.07%,111,"$7,156,323",20.08%,-32.61%
Total,81.13%,"1,134","$2,354,776,663",4.29%,-36.44%
