Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",72.06%,247,"$108,479,615",4.04%,-16.48%
Education,75.56%,356,"$450,801,874",4.31%,-12.05%
Environment and animals,67.63%,139,"$198,460,951",4.97%,-19.15%
Health,77.46%,173,"$302,469,336",5.12%,-21.38%
Hospitals,57.14%,7,"$34,199,764",4.31%,-0.95%
Human services,76.94%,720,"$776,766,874",2.68%,-24.83%
"International, foreign affairs",66.67%,21,"$9,030,212",10.24%,-6.50%
Mutual/membership benefit,100.00%,1,"$71,428",-1.95%,-96.31%
"Public, societal benefit",77.35%,181,"$1,202,686,415",4.00%,-30.37%
Religion-related,63.89%,36,"$25,009,048",9.24%,-14.34%
Unclassified,78.23%,395,"$680,717,126",2.82%,-18.87%
Universities,50.00%,8,"$15,776,954",-1.57%,-3.19%
Total,75.48%,"2,284","$3,804,469,597",3.59%,-19.07%
