Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Massachusetts,71.19%,"2,669","$14,679,854,631",5.06%,-15.05%
Barnstable County,71.11%,135,"$420,989,970",5.86%,-23.18%
Berkshire County,69.91%,113,"$126,900,962",9.19%,-9.15%
Bristol County,69.57%,138,"$454,301,355",6.62%,-17.90%
Dukes County,65.00%,20,"$10,710,412",15.28%,-11.18%
Essex County,70.61%,228,"$656,775,930",5.05%,-15.94%
Franklin County,82.05%,39,"$63,100,015",8.03%,-38.20%
Hampden County,79.74%,153,"$654,209,096",4.47%,-21.83%
Hampshire County,79.76%,84,"$221,097,814",3.06%,-20.12%
Middlesex County,67.23%,592,"$6,499,207,971",5.48%,-10.22%
Nantucket County,61.90%,21,"$8,294,345",17.30%,-4.46%
Norfolk County,67.03%,182,"$598,841,713",5.92%,-6.84%
Plymouth County,67.92%,106,"$270,513,003",2.74%,-20.21%
Suffolk County,72.45%,646,"$3,926,284,598",3.85%,-19.73%
Worcester County,75.94%,212,"$768,627,447",4.48%,-16.58%
