Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",73.03%,89,"$68,496,464",6.94%,-13.39%
Education,75.00%,92,"$98,237,696",6.97%,-22.83%
Environment and animals,63.89%,36,"$21,054,758",9.97%,-15.40%
Health,80.65%,124,"$353,369,568",3.39%,-19.14%
Hospitals,50.00%,32,"$76,325,047",5.26%,-0.71%
Human services,74.42%,344,"$338,801,124",7.40%,-21.81%
"International, foreign affairs",85.71%,7,"$1,218,502",3.86%,-14.44%
"Public, societal benefit",71.74%,92,"$234,871,941",10.99%,-25.01%
Religion-related,67.86%,28,"$13,959,013",9.74%,-10.75%
Unclassified,73.52%,253,"$1,039,233,677",5.78%,-17.36%
Universities,56.25%,16,"$47,315,385",4.79%,-2.97%
Total,73.23%,"1,113","$2,292,883,175",6.49%,-18.48%
