Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",56.76%,37,"$2,740,629",11.38%,-7.04%
Education,86.73%,98,"$283,323,717",2.51%,-86.26%
Environment and animals,50.00%,36,"$11,366,074",7.79%,-5.06%
Health,83.33%,36,"$37,255,524",4.71%,-25.26%
Hospitals,45.45%,11,"$44,547,904",0.70%,0.55%
Human services,71.93%,114,"$89,102,047",7.09%,-18.67%
"International, foreign affairs",25.00%,4,"$8,424,589",30.39%,15.43%
"Public, societal benefit",85.19%,27,"$13,311,112",2.93%,-42.76%
Religion-related,75.00%,4,"$1,414,502",-2.56%,-28.53%
Unclassified,81.72%,93,"$202,103,744",1.74%,-32.61%
Universities,66.67%,3,"$18,815,013",-1.16%,-2.25%
Total,74.73%,463,"$712,404,855",4.24%,-25.66%
