Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Colorado,75.48%,"2,284","$3,804,469,597",3.59%,-19.07%
Adams County,82.61%,92,"$99,928,868",2.08%,-20.02%
Alamosa County,95.00%,20,"$47,856,815",8.71%,-48.81%
Arapahoe County,73.88%,134,"$237,995,364",2.90%,-18.49%
Archuleta County,68.75%,16,"$3,397,717",12.23%,-13.07%
Bent County,60.00%,5,"$2,420,993",9.47%,-71.43%
Boulder County,78.07%,187,"$474,422,609",2.73%,-16.35%
Broomfield County,93.33%,15,"$7,799,584",-1.67%,-32.62%
Chaffee County,55.00%,20,"$7,751,395",16.09%,-21.76%
Cheyenne County,0.00%,1,"$831,810",93.40%,2.09%
Clear Creek County,80.00%,5,"$574,224",-12.75%,-86.48%
Conejos County,100.00%,2,"$244,825",13.26%,-29.34%
Costilla County,100.00%,3,"$654,550",8.88%,-27.89%
Crowley County,100.00%,2,"$300,210",-38.63%,-115.93%
Custer County,66.67%,6,"$206,000",12.96%,-11.12%
Delta County,64.29%,14,"$1,995,137",9.39%,-14.93%
Denver County,80.36%,555,"$1,126,563,941",1.92%,-31.06%
Dolores County,100.00%,2,"$202,289",-3.48%,-41.81%
Douglas County,81.25%,48,"$38,794,962",4.36%,-15.94%
Eagle County,75.00%,48,"$22,619,623",0.65%,-12.11%
El Paso County,69.83%,179,"$219,550,306",4.97%,-8.75%
Elbert County,100.00%,2,"$780,599",0.27%,-11.32%
Fremont County,75.00%,12,"$6,560,651",11.34%,-11.44%
Garfield County,65.57%,61,"$20,095,517",4.01%,-7.34%
Gilpin County,100.00%,1,"$197,490",-75.02%,-121.40%
Grand County,61.90%,21,"$3,002,205",5.62%,-10.52%
Gunnison County,62.07%,29,"$7,516,277",9.22%,-8.33%
Hinsdale County,50.00%,4,"$94,800",3.60%,-16.63%
Huerfano County,80.00%,5,"$2,160,671",5.99%,-26.19%
Jackson County,100.00%,1,"$452,092",16.59%,-82.63%
Jefferson County,73.29%,146,"$925,624,545",3.15%,-17.38%
Kiowa County,100.00%,1,"$169,558",-11.63%,-33.26%
Kit Carson County,100.00%,3,"$3,298,648",0.71%,-64.05%
La Plata County,81.82%,44,"$57,002,294",1.21%,-36.32%
Lake County,75.00%,8,"$2,368,420",7.34%,-18.45%
Larimer County,72.57%,113,"$109,781,534",2.69%,-11.31%
Las Animas County,77.78%,9,"$1,806,795",-0.07%,-5.34%
Lincoln County,85.71%,7,"$2,076,203",6.53%,-70.99%
Logan County,75.00%,12,"$4,265,633",10.67%,-32.61%
Mesa County,79.17%,48,"$52,195,697",6.22%,-14.14%
Mineral County,50.00%,4,"$173,914",18.93%,12.02%
Moffat County,75.00%,4,"$1,011,495",-0.77%,-44.39%
Montezuma County,61.90%,21,"$8,145,291",8.79%,-22.38%
Montrose County,79.17%,24,"$20,122,578",3.47%,-30.91%
Morgan County,90.00%,10,"$6,562,507",2.09%,-61.79%
Otero County,63.64%,11,"$19,867,131",0.62%,-5.09%
Ouray County,40.00%,10,"$4,701,256",18.32%,3.22%
Park County,100.00%,9,"$5,025,246",-1.47%,-58.14%
Phillips County,100.00%,3,"$527,230",13.35%,-12.07%
Pitkin County,51.11%,45,"$13,923,129",6.00%,-0.66%
Prowers County,77.78%,9,"$7,095,729",1.69%,-50.69%
Pueblo County,82.46%,57,"$67,381,405",7.95%,-22.54%
Rio Blanco County,100.00%,5,"$485,012",1.31%,-7.65%
Rio Grande County,66.67%,9,"$7,562,490",8.43%,-44.94%
Routt County,75.00%,40,"$23,983,786",3.14%,-24.11%
Saguache County,75.00%,4,"$1,487,479",5.11%,-46.86%
San Juan County,100.00%,2,"$614,711",-5.11%,-30.54%
San Miguel County,75.00%,28,"$7,012,702",0.69%,-19.76%
Summit County,61.36%,44,"$20,630,317",4.85%,-13.50%
Teller County,77.78%,9,"$2,744,901",3.65%,-16.61%
Washington County,100.00%,1,"$136,091",7.33%,-27.89%
Weld County,69.77%,43,"$90,233,867",6.06%,-13.69%
Yuma County,90.91%,11,"$1,480,479",-6.88%,-26.14%
