Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",82.78%,209,"$289,388,365",4.07%,-26.57%
Education,71.43%,210,"$266,256,101",4.76%,-12.21%
Environment and animals,77.00%,100,"$125,465,356",5.61%,-19.20%
Health,80.66%,212,"$997,378,548",2.78%,-22.05%
Hospitals,64.29%,14,"$133,547,724",2.34%,-2.31%
Human services,82.85%,764,"$1,011,118,180",2.77%,-35.82%
"International, foreign affairs",68.18%,22,"$425,264,212",6.92%,-34.76%
Mutual/membership benefit,100.00%,2,"$138,876",-44.58%,-74.54%
"Public, societal benefit",87.57%,185,"$673,145,888",1.75%,-44.51%
Religion-related,74.29%,35,"$30,089,997",4.14%,-24.20%
Unclassified,75.26%,473,"$1,412,215,140",3.54%,-20.36%
Universities,82.35%,17,"$1,471,014,890",-0.19%,-8.02%
Total,79.71%,"2,243","$6,835,023,277",3.09%,-25.74%
