Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",85.59%,111,"$26,578,717",-1.98%,-24.90%
Education,85.38%,171,"$910,130,167",3.23%,-71.30%
Environment and animals,71.67%,60,"$47,715,500",11.38%,-16.66%
Health,82.79%,122,"$235,373,721",5.24%,-40.02%
Hospitals,66.67%,18,"$66,527,683",2.05%,-10.95%
Human services,79.75%,395,"$266,819,751",4.34%,-41.06%
"International, foreign affairs",0.00%,4,"$966,145",11.02%,8.10%
Mutual/membership benefit,100.00%,2,"$585,090",-6.85%,-66.95%
"Public, societal benefit",83.93%,112,"$166,556,590",4.94%,-32.51%
Religion-related,65.22%,23,"$12,713,836",17.48%,-15.07%
Unclassified,79.21%,202,"$354,705,316",2.40%,-27.23%
Universities,84.62%,13,"$50,641,001",-3.63%,-13.53%
Total,80.62%,"1,233","$2,139,313,517",3.90%,-32.56%
