Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
North Carolina,78.45%,"3,164","$7,590,432,244",5.53%,-30.44%
Alamance County,77.08%,48,"$43,989,469",5.39%,-44.07%
Alexander County,75.00%,8,"$2,236,293",22.86%,-11.99%
Alleghany County,77.78%,9,"$1,674,906",-12.53%,-38.63%
Anson County,100.00%,2,"$3,576,709",22.74%,-63.30%
Ashe County,82.35%,17,"$9,172,196",2.58%,-45.45%
Avery County,77.78%,9,"$3,537,695",-2.22%,-13.22%
Beaufort County,86.00%,50,"$21,209,458",-3.19%,-68.35%
Bertie County,71.43%,7,"$3,038,666",14.39%,-33.07%
Bladen County,84.62%,13,"$3,340,570",16.40%,-22.68%
Brunswick County,76.92%,26,"$22,210,520",16.58%,-34.11%
Buncombe County,72.84%,162,"$177,356,604",5.74%,-16.41%
Burke County,71.43%,28,"$29,828,714",12.79%,-16.89%
Cabarrus County,83.87%,31,"$50,192,177",7.65%,-39.59%
Caldwell County,87.50%,24,"$9,529,130",0.47%,-49.70%
Carteret County,76.92%,26,"$12,575,234",7.50%,-26.46%
Caswell County,100.00%,8,"$4,642,329",15.27%,-53.16%
Catawba County,71.43%,35,"$20,547,138",5.67%,-27.76%
Chatham County,81.48%,27,"$21,256,763",-0.80%,-31.63%
Cherokee County,77.78%,9,"$6,120,561",8.22%,-10.67%
Chowan County,88.89%,9,"$29,653,350",6.10%,-16.91%
Clay County,66.67%,6,"$994,523",8.20%,-39.01%
Cleveland County,84.85%,33,"$33,472,768",2.29%,-43.16%
Columbus County,89.47%,19,"$10,506,756",6.31%,-33.02%
Craven County,83.87%,31,"$19,471,620",5.20%,-43.56%
Cumberland County,82.35%,51,"$75,852,092",4.14%,-29.73%
Currituck County,66.67%,3,"$755,079",0.44%,-51.21%
Dare County,81.25%,16,"$7,585,962",9.56%,-40.90%
Davidson County,66.67%,36,"$24,450,413",7.00%,-20.87%
Davie County,86.96%,23,"$7,206,262",16.99%,-62.95%
Duplin County,75.00%,16,"$20,539,246",44.36%,-21.97%
Durham County,77.78%,126,"$1,952,149,075",3.31%,-28.92%
Edgecombe County,90.00%,10,"$11,531,301",-2.81%,-35.39%
Forsyth County,81.88%,149,"$401,314,415",-0.04%,-35.75%
Franklin County,75.00%,12,"$4,020,598",6.06%,-10.88%
Gaston County,65.96%,47,"$84,942,456",8.51%,-17.18%
Gates County,100.00%,1,"$1,958,953",15.64%,-62.72%
Graham County,66.67%,3,"$361,708",41.13%,-41.98%
Granville County,93.75%,16,"$14,854,881",14.74%,-50.03%
Greene County,80.00%,5,"$16,943,668",6.77%,-6.27%
Guilford County,78.85%,156,"$278,487,169",3.82%,-26.11%
Halifax County,66.67%,12,"$16,684,635",10.02%,-11.82%
Harnett County,85.71%,21,"$43,389,189",14.80%,-21.86%
Haywood County,86.67%,15,"$25,203,920",7.74%,-15.38%
Henderson County,70.59%,51,"$56,903,616",4.49%,-15.97%
Hertford County,75.00%,12,"$14,341,758",10.59%,-12.30%
Hoke County,91.67%,12,"$4,923,936",-3.82%,-96.57%
Hyde County,70.00%,10,"$12,693,299",14.12%,-18.79%
Iredell County,77.78%,36,"$58,837,955",4.85%,-27.30%
Jackson County,92.59%,27,"$29,199,937",3.45%,-51.44%
Johnston County,83.33%,42,"$62,082,217",7.08%,-43.85%
Jones County,75.00%,4,"$1,084,080",6.00%,-65.07%
Lee County,70.59%,17,"$11,524,800",6.36%,-29.60%
Lenoir County,73.68%,19,"$21,871,824",2.60%,-54.33%
Lincoln County,75.00%,16,"$37,802,971",20.40%,-25.55%
Macon County,76.00%,25,"$13,950,167",21.04%,-26.68%
Madison County,75.00%,12,"$7,174,007",7.81%,-31.13%
Martin County,100.00%,9,"$4,542,407",16.05%,-32.33%
McDowell County,46.67%,15,"$2,012,299",13.90%,1.15%
Mecklenburg County,80.43%,230,"$526,468,298",1.93%,-24.88%
Mitchell County,73.33%,15,"$10,878,299",2.47%,-21.70%
Montgomery County,88.89%,9,"$3,549,527",20.62%,-52.77%
Moore County,78.95%,38,"$112,650,395",2.03%,-52.92%
Nash County,90.00%,30,"$49,431,327",7.35%,-54.24%
New Hanover County,78.08%,73,"$107,200,016",8.14%,-23.71%
Northampton County,87.50%,8,"$45,257,512",1.65%,-74.61%
Onslow County,81.25%,32,"$44,792,026",15.23%,-44.59%
Orange County,69.12%,68,"$149,145,744",9.71%,-18.68%
Pamlico County,77.78%,9,"$11,250,874",13.64%,-45.07%
Pasquotank County,86.67%,15,"$22,390,532",4.57%,-35.18%
Pender County,90.91%,11,"$6,821,452",0.56%,-36.08%
Perquimans County,60.00%,5,"$759,524",24.81%,-58.98%
Person County,66.67%,9,"$6,962,626",12.02%,-11.14%
Pitt County,75.47%,53,"$34,119,023",4.93%,-35.11%
Polk County,60.00%,15,"$3,608,785",2.90%,-9.00%
Randolph County,57.69%,26,"$36,354,330",11.64%,-3.60%
Richmond County,64.29%,14,"$3,738,985",13.41%,-11.86%
Robeson County,76.92%,39,"$94,938,025",12.62%,-40.86%
Rockingham County,78.26%,23,"$19,405,111",9.36%,-47.17%
Rowan County,75.00%,44,"$50,923,946",7.06%,-29.79%
Rutherford County,75.00%,48,"$188,877,700",7.51%,-58.09%
Sampson County,100.00%,6,"$6,368,399",-0.57%,-64.20%
Scotland County,77.78%,9,"$6,739,194",5.58%,-49.59%
Stanly County,88.89%,27,"$22,810,225",8.29%,-60.90%
Stokes County,83.33%,12,"$3,575,366",0.07%,-66.65%
Surry County,72.97%,37,"$40,533,654",26.54%,-31.36%
Swain County,100.00%,7,"$5,264,234",4.31%,-62.70%
Transylvania County,60.00%,30,"$22,826,541",15.29%,-6.48%
Tyrrell County,80.00%,5,"$1,471,983",5.46%,-61.08%
Union County,75.00%,36,"$70,260,366",11.67%,-27.97%
Vance County,73.33%,15,"$16,357,398",3.13%,-67.81%
Wake County,80.79%,354,"$1,824,281,989",3.92%,-29.25%
Warren County,92.31%,13,"$3,879,210",8.94%,-40.04%
Washington County,66.67%,3,"$1,188,113",8.80%,-4.70%
Watauga County,65.52%,29,"$67,732,421",7.26%,-18.69%
