Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.99%,113,"$113,104,982",3.95%,-15.40%
Education,86.27%,335,"$1,354,595,438",6.75%,-38.50%
Environment and animals,72.92%,48,"$47,251,089",3.83%,-17.68%
Health,80.95%,105,"$548,713,098",3.32%,-21.95%
Hospitals,75.00%,12,"$162,774,384",2.87%,-2.92%
Human services,76.37%,347,"$541,388,891",3.24%,-26.11%
"International, foreign affairs",85.71%,7,"$70,569,968",1.31%,-41.23%
"Public, societal benefit",75.29%,85,"$131,395,550",4.10%,-34.88%
Religion-related,86.96%,23,"$39,948,317",5.10%,-17.08%
Unclassified,83.12%,231,"$1,364,614,213",3.23%,-26.04%
Universities,42.86%,7,"$18,203,611",3.70%,0.31%
Total,80.35%,"1,313","$4,392,559,541",4.45%,-26.25%
