Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Arkansas,79.81%,842,"$1,398,484,556",3.71%,-31.82%
Arkansas County,85.71%,7,"$4,586,154",4.59%,-16.99%
Ashley County,100.00%,3,"$2,565,442",-0.56%,-5.75%
Baxter County,77.78%,18,"$21,832,315",4.37%,-32.82%
Benton County,70.83%,48,"$50,686,985",8.95%,-19.78%
Boone County,100.00%,25,"$26,031,152",-10.08%,-62.77%
Bradley County,100.00%,4,"$7,093,556",2.57%,-70.61%
Calhoun County,100.00%,1,"$4,301,842",3.95%,-37.17%
Carroll County,72.73%,11,"$1,249,252",-3.96%,-9.55%
Chicot County,66.67%,3,"$13,361,801",7.27%,-15.17%
Clark County,100.00%,2,"$8,613,752",1.92%,-4.67%
Clay County,100.00%,1,"$5,619,836",11.01%,-9.46%
Cleburne County,77.78%,9,"$1,834,970",1.12%,-62.46%
Columbia County,92.31%,13,"$10,211,166",-3.01%,-44.91%
Conway County,80.00%,5,"$3,463,720",2.68%,-36.74%
Craighead County,67.65%,34,"$76,546,371",4.11%,-18.43%
Crawford County,100.00%,14,"$12,560,889",2.62%,-52.48%
Crittenden County,100.00%,11,"$12,244,864",3.17%,-62.35%
Cross County,50.00%,6,"$4,345,323",7.17%,-5.48%
Dallas County,100.00%,1,"$11,566",-67.82%,-105.63%
Desha County,60.00%,5,"$3,663,557",3.48%,-4.91%
Drew County,66.67%,3,"$2,572,088",1.29%,-11.93%
Faulkner County,68.42%,19,"$25,698,135",6.90%,-12.42%
Franklin County,60.00%,5,"$958,709",10.27%,-14.47%
Fulton County,100.00%,1,"$1,843,300",29.69%,-63.56%
Garland County,81.82%,33,"$42,651,446",1.95%,-28.05%
Grant County,100.00%,2,"$1,198,779",28.51%,-49.50%
Greene County,71.43%,7,"$727,668",5.37%,-6.69%
Hempstead County,80.00%,5,"$7,164,403",2.70%,-12.92%
Hot Spring County,75.00%,4,"$274,226",6.91%,-32.99%
Howard County,100.00%,3,"$931,966",-4.56%,-16.89%
Independence County,73.68%,19,"$37,229,449",4.68%,-30.37%
Izard County,100.00%,7,"$570,945",-33.56%,-64.08%
Jackson County,33.33%,3,"$571,697",18.07%,9.81%
Jefferson County,85.71%,21,"$46,634,329",7.18%,-49.62%
Johnson County,83.33%,6,"$7,227,295",4.54%,-17.69%
Lawrence County,66.67%,3,"$5,640,627",9.79%,-3.02%
Lee County,100.00%,2,"$4,177,617",-33.15%,-100.96%
Little River County,100.00%,2,"$1,149,861",-12.68%,-34.22%
Logan County,50.00%,4,"$721,268",2.64%,-16.79%
Lonoke County,83.33%,6,"$5,963,464",7.11%,-60.43%
Madison County,60.00%,5,"$1,843,978",11.34%,-3.25%
Marion County,100.00%,1,"$274,277",-7.87%,-94.26%
Miller County,75.00%,4,"$5,234,322",1.07%,-10.96%
Mississippi County,83.33%,6,"$2,761,455",10.43%,-38.83%
Monroe County,100.00%,4,"$4,636,138",6.65%,-46.89%
Nevada County,0.00%,1,"$2,565",65.09%,63.12%
Newton County,0.00%,1,"$671,829",23.22%,4.71%
Ouachita County,66.67%,3,"$749,699",6.75%,-5.49%
Phillips County,100.00%,8,"$11,209,530",-10.63%,-58.78%
Pike County,100.00%,1,"$3,281,878",-144.91%,-243.48%
Poinsett County,100.00%,1,"$83,397",-12.18%,-63.25%
Polk County,100.00%,4,"$7,393,905",3.06%,-14.42%
Pope County,93.75%,16,"$16,423,863",-5.88%,-63.05%
Pulaski County,83.92%,199,"$559,539,992",2.54%,-42.94%
Randolph County,100.00%,13,"$15,369,286",7.62%,-39.41%
Saline County,80.00%,25,"$45,018,311",8.83%,-9.77%
Scott County,75.00%,4,"$966,362",11.74%,-37.67%
Searcy County,100.00%,2,"$7,968,706",3.45%,-11.82%
Sebastian County,75.00%,44,"$88,427,436",6.51%,-29.72%
Sevier County,50.00%,2,"$334,418",8.84%,0.38%
Sharp County,0.00%,1,"$11,556",36.46%,34.69%
St. Francis County,33.33%,3,"$624,528",28.60%,0.01%
Stone County,66.67%,3,"$356,513",21.81%,-67.95%
Union County,76.92%,13,"$20,573,078",2.96%,-22.14%
Van Buren County,80.00%,5,"$3,516,723",2.13%,-35.74%
Washington County,70.67%,75,"$79,368,905",5.03%,-14.19%
White County,70.59%,17,"$10,824,702",14.90%,-7.63%
Woodruff County,100.00%,1,"$27,961,222",3.96%,-13.72%
Yell County,100.00%,4,"$18,324,197",-3.04%,-51.52%
