Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.00%,155,"$20,981,688",6.04%,-25.71%
$10M or more,76.92%,65,"$688,806,833",2.16%,-19.74%
$1M to $4.9M,78.29%,175,"$171,169,859",2.80%,-29.54%
$500K to $999K,87.04%,108,"$33,205,581",2.30%,-38.22%
$5M to $9.9M,79.07%,43,"$151,695,977",2.51%,-43.10%
Less than $100K,58.82%,17,"$5,703,749",37.93%,-17.26%
Total,79.75%,563,"$1,071,563,687",3.52%,-28.60%
