Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,83.60%,683,"$105,003,139",5.08%,-35.30%
$10M or more,69.73%,337,"$5,608,844,732",1.59%,-8.34%
$1M to $4.9M,80.13%,609,"$610,588,398",3.19%,-25.97%
$500K to $999K,84.76%,328,"$111,807,050",2.66%,-38.75%
$5M to $9.9M,78.74%,174,"$390,723,431",1.81%,-16.98%
Less than $100K,70.54%,112,"$8,056,527",11.38%,-24.49%
Total,79.71%,"2,243","$6,835,023,277",3.09%,-25.74%
