Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",73.41%,331,"$148,356,207",1.11%,-17.62%
Education,73.74%,278,"$1,137,813,293",2.78%,-20.34%
Environment and animals,56.00%,75,"$84,418,135",14.97%,-4.11%
Health,80.62%,258,"$798,004,020",3.41%,-30.02%
Hospitals,60.42%,48,"$170,217,456",0.77%,-3.56%
Human services,83.33%,"1,002","$2,594,259,419",2.82%,-37.58%
"International, foreign affairs",75.00%,20,"$154,663,260",-0.18%,-15.01%
Mutual/membership benefit,100.00%,1,"$2,167,907",11.81%,-47.92%
"Public, societal benefit",79.07%,258,"$1,317,896,182",3.62%,-37.51%
Religion-related,77.36%,53,"$46,004,260",3.81%,-21.36%
Unclassified,79.56%,675,"$2,388,000,710",1.84%,-23.57%
Universities,67.80%,59,"$2,045,733,599",-1.40%,-6.74%
Total,78.48%,"3,058","$10,887,534,448",2.64%,-25.34%
