Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",69.44%,36,"$10,969,069",5.89%,-12.29%
Education,81.48%,27,"$79,899,913",4.86%,-12.82%
Environment and animals,40.00%,15,"$4,548,379",18.75%,1.77%
Health,72.73%,33,"$32,062,359",-0.11%,-14.45%
Hospitals,38.10%,21,"$76,250,523",2.53%,1.26%
Human services,77.69%,130,"$154,933,652",7.37%,-27.41%
"International, foreign affairs",0.00%,1,"$44,302",15.39%,11.05%
"Public, societal benefit",73.68%,38,"$43,992,441",8.09%,-43.46%
Religion-related,60.00%,5,"$1,190,935",-2.29%,-19.32%
Unclassified,74.19%,93,"$240,045,248",2.66%,-18.81%
Universities,40.00%,5,"$4,473,424",12.11%,0.18%
Total,71.29%,404,"$648,410,245",5.25%,-17.33%
