Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,80.07%,291,"$43,958,095",11.10%,-41.50%
$10M or more,71.58%,95,"$680,495,931",2.83%,-10.19%
$1M to $4.9M,82.96%,223,"$245,485,103",4.54%,-33.66%
$500K to $999K,81.82%,110,"$37,889,384",4.32%,-40.31%
$5M to $9.9M,69.05%,42,"$114,001,052",4.40%,-15.40%
Less than $100K,69.01%,71,"$3,933,425",24.21%,-27.75%
Total,78.61%,832,"$1,125,762,990",5.93%,-30.10%
