Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Idaho,74.73%,463,"$712,404,855",4.24%,-25.66%
Ada County,76.60%,141,"$309,229,453",1.27%,-24.36%
Adams County,100.00%,1,"$2,597,061",28.46%,-9.05%
Bannock County,82.61%,23,"$28,992,327",5.57%,-36.52%
Benewah County,50.00%,2,"$160,186",-2.69%,-9.57%
Bingham County,80.00%,10,"$15,318,971",0.31%,-63.60%
Blaine County,28.00%,25,"$4,950,169",16.41%,14.62%
Boise County,100.00%,1,"$58,715",0.58%,-98.74%
Bonner County,61.54%,13,"$18,686,808",6.20%,-3.01%
Bonneville County,92.00%,25,"$36,343,350",0.00%,-45.76%
Boundary County,100.00%,6,"$1,015,129",8.10%,-17.02%
Canyon County,77.42%,31,"$104,472,335",7.05%,-51.70%
Caribou County,66.67%,3,"$183,764",3.22%,-4.24%
Cassia County,100.00%,2,"$740,719",46.82%,-27.09%
Clearwater County,66.67%,3,"$1,665,572",-2.60%,-65.72%
Custer County,50.00%,2,"$250,337",15.12%,-34.95%
Elmore County,80.00%,5,"$10,318,394",14.61%,-14.45%
Franklin County,100.00%,1,"$18,358",-1.17%,-7.25%
Fremont County,100.00%,4,"$4,196,659",8.27%,-19.71%
Gem County,100.00%,3,"$2,748,434",-9.76%,-67.93%
Gooding County,33.33%,3,"$3,079,425",5.77%,4.88%
Idaho County,40.00%,5,"$1,100,512",4.20%,1.04%
Jefferson County,100.00%,1,"$793,688",-17.54%,-109.83%
Jerome County,100.00%,3,"$2,567,306",2.60%,-21.37%
Kootenai County,80.00%,40,"$39,694,553",0.32%,-35.89%
Latah County,84.00%,25,"$31,099,975",3.97%,-50.63%
Lemhi County,50.00%,10,"$2,373,178",12.30%,-22.14%
Lewis County,100.00%,1,"$180,693",-17.83%,-70.09%
Madison County,100.00%,2,"$898,597",16.36%,-26.79%
Minidoka County,50.00%,2,"$172,801",7.77%,-17.90%
Nez Perce County,84.62%,13,"$24,188,279",4.71%,-24.66%
Oneida County,100.00%,1,"$308,375",8.75%,-40.76%
Owyhee County,66.67%,3,"$575,413",25.09%,-25.16%
Payette County,100.00%,4,"$25,532,447",-2.26%,-67.56%
Shoshone County,100.00%,2,"$137,784",-10.93%,-32.97%
Teton County,50.00%,10,"$4,701,693",17.75%,1.12%
Twin Falls County,79.17%,24,"$30,026,269",8.02%,-25.13%
Valley County,37.50%,8,"$1,690,777",17.96%,2.70%
Washington County,100.00%,5,"$1,336,349",-0.13%,-11.07%
