Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.17%,216,"$29,504,769",2.97%,-34.39%
$10M or more,77.97%,59,"$566,664,593",2.79%,-15.77%
$1M to $4.9M,74.57%,232,"$227,573,716",5.23%,-26.92%
$500K to $999K,80.62%,129,"$38,626,696",3.72%,-34.18%
$5M to $9.9M,86.49%,37,"$174,055,730",3.18%,-47.81%
Less than $100K,58.33%,24,"$690,139",28.96%,-5.99%
Total,77.47%,697,"$1,037,115,643",4.42%,-29.75%
