Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,74.31%,401,"$41,061,213",8.09%,-19.05%
$10M or more,70.62%,177,"$675,435,554",1.25%,-6.21%
$1M to $4.9M,72.98%,248,"$167,679,309",3.46%,-13.44%
$500K to $999K,75.69%,181,"$47,026,156",4.76%,-16.90%
$5M to $9.9M,79.07%,86,"$159,136,737",0.29%,-14.65%
Less than $100K,53.57%,84,"$9,566,205",34.33%,-2.00%
Total,72.56%,"1,177","$1,099,905,174",4.23%,-13.06%
