Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
West Virginia,78.61%,832,"$1,125,762,990",5.93%,-30.10%
Barbour County,71.43%,7,"$4,904,513",-1.74%,-22.74%
Berkeley County,65.71%,35,"$26,196,224",16.56%,-15.01%
Boone County,85.71%,7,"$3,350,916",6.20%,-56.54%
Braxton County,66.67%,6,"$9,621,186",5.26%,-15.81%
Brooke County,85.71%,7,"$3,099,792",0.36%,-51.17%
Cabell County,66.10%,59,"$174,694,908",8.85%,-28.79%
Calhoun County,80.00%,5,"$7,658,753",20.93%,-15.45%
Clay County,100.00%,2,"$571,484",-33.32%,-80.74%
Doddridge County,100.00%,5,"$1,102,200",2.81%,-69.44%
Fayette County,57.14%,7,"$13,209,699",12.90%,-0.46%
Gilmer County,100.00%,2,"$786,379",-59.34%,-93.14%
Grant County,100.00%,7,"$3,875,034",-0.63%,-34.56%
Greenbrier County,95.45%,22,"$13,756,743",0.10%,-34.47%
Hampshire County,75.00%,8,"$2,117,484",5.51%,-41.39%
Hancock County,84.62%,13,"$13,179,822",5.97%,-28.46%
Hardy County,69.23%,13,"$15,594,576",15.84%,-12.44%
Harrison County,89.66%,29,"$26,805,278",1.89%,-24.08%
Jackson County,50.00%,6,"$2,536,692",11.11%,2.68%
Jefferson County,64.00%,25,"$9,222,272",8.63%,-14.04%
Kanawha County,88.07%,109,"$204,036,715",3.43%,-42.33%
Lewis County,80.00%,10,"$1,540,409",-9.22%,-43.06%
Lincoln County,83.33%,6,"$10,501,106",15.22%,-24.84%
Logan County,100.00%,13,"$11,536,490",14.66%,-72.96%
Marion County,75.00%,24,"$28,907,124",9.33%,-19.08%
Marshall County,60.00%,10,"$2,055,034",14.41%,-7.10%
Mason County,71.43%,7,"$1,215,317",7.31%,-27.01%
McDowell County,100.00%,9,"$9,144,530",-3.23%,-86.38%
Mercer County,80.00%,25,"$49,785,456",5.90%,-30.41%
Mineral County,86.67%,15,"$14,285,846",22.62%,-22.80%
Mingo County,100.00%,9,"$19,742,459",0.33%,-73.53%
Monongalia County,69.81%,53,"$192,197,763",7.02%,-33.27%
Monroe County,100.00%,4,"$1,303,081",-0.03%,-82.17%
Morgan County,87.50%,8,"$4,689,023",9.30%,-58.13%
Nicholas County,81.82%,11,"$16,370,554",7.60%,-38.78%
Ohio County,76.74%,43,"$49,325,560",3.45%,-26.63%
Pendleton County,75.00%,8,"$3,761,105",4.97%,-20.48%
Pocahontas County,66.67%,6,"$3,565,048",2.51%,-50.88%
Preston County,73.68%,19,"$6,816,021",10.72%,-18.02%
Putnam County,85.71%,7,"$6,655,061",8.02%,-58.11%
Raleigh County,80.77%,26,"$39,438,081",4.87%,-39.67%
Randolph County,81.82%,22,"$15,087,133",5.04%,-51.20%
Ritchie County,100.00%,6,"$3,442,792",-0.42%,-34.26%
Roane County,87.50%,8,"$3,925,002",11.85%,-16.67%
Summers County,100.00%,4,"$2,325,071",4.18%,-69.77%
Taylor County,85.71%,7,"$5,295,020",11.89%,-21.40%
Tucker County,87.50%,8,"$6,584,047",2.78%,-18.75%
Tyler County,75.00%,4,"$1,149,075",-6.21%,-52.42%
Upshur County,62.50%,16,"$19,696,870",11.64%,-7.57%
Wayne County,50.00%,10,"$7,295,839",6.92%,1.18%
Webster County,100.00%,3,"$5,377,520",17.96%,-35.21%
Wetzel County,66.67%,9,"$1,958,265",10.22%,-12.06%
Wirt County,100.00%,2,"$3,766,953",7.39%,-18.11%
Wood County,76.92%,39,"$24,785,057",3.63%,-34.02%
Wyoming County,71.43%,7,"$15,918,608",2.39%,-48.14%
