Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,77.67%,506,"$83,246,157",5.73%,-32.50%
$10M or more,78.92%,204,"$2,740,806,999",3.88%,-20.60%
$1M to $4.9M,82.25%,507,"$603,300,012",5.09%,-32.66%
$500K to $999K,83.59%,329,"$119,691,688",2.76%,-34.10%
$5M to $9.9M,82.00%,150,"$547,768,876",5.71%,-46.23%
Less than $100K,48.08%,52,"$6,084,999",53.10%,0.61%
Total,79.75%,"1,748","$4,100,898,731",5.15%,-31.71%
