Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Michigan,76.65%,"2,330","$5,223,442,891",3.05%,-21.41%
10th Congressional district,82.57%,109,"$100,816,950",0.81%,-59.13%
11th Congressional district,81.62%,136,"$248,203,330",2.04%,-39.50%
12th Congressional district,77.78%,126,"$359,874,215",4.03%,-21.96%
13th Congressional district,82.05%,234,"$1,066,791,472",1.88%,-34.62%
1st Congressional district,73.95%,311,"$345,722,751",5.91%,-15.08%
2nd Congressional district,73.33%,135,"$141,783,840",4.12%,-17.00%
3rd Congressional district,72.07%,222,"$642,366,015",3.02%,-14.90%
4th Congressional district,71.77%,248,"$364,526,554",3.64%,-17.50%
5th Congressional district,71.54%,130,"$102,292,829",4.65%,-21.17%
6th Congressional district,75.29%,170,"$779,619,921",4.04%,-19.29%
7th Congressional district,82.30%,226,"$521,318,009",0.95%,-22.37%
8th Congressional district,78.42%,190,"$461,790,239",1.46%,-26.15%
9th Congressional district,77.42%,93,"$88,336,766",2.89%,-17.67%
