Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",75.52%,241,"$76,107,460",4.14%,-14.86%
Education,83.14%,433,"$1,647,430,554",2.65%,-49.36%
Environment and animals,66.07%,112,"$76,716,336",9.36%,-10.49%
Health,79.27%,275,"$509,885,247",6.44%,-26.00%
Hospitals,72.73%,22,"$208,349,879",2.17%,-8.00%
Human services,79.01%,"1,210","$949,394,170",6.60%,-38.56%
"International, foreign affairs",81.82%,11,"$697,934,054",-2.22%,-30.41%
Mutual/membership benefit,100.00%,2,"$614,955",3.48%,-65.35%
"Public, societal benefit",73.71%,213,"$285,393,876",10.33%,-27.77%
Religion-related,66.67%,57,"$93,150,952",4.56%,-13.69%
Unclassified,79.93%,553,"$943,663,956",5.70%,-33.12%
Universities,80.00%,35,"$2,101,790,805",-1.89%,-11.14%
Total,78.45%,"3,164","$7,590,432,244",5.53%,-30.44%
