Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",79.76%,84,"$18,903,907",3.89%,-20.05%
Education,80.00%,105,"$171,250,517",6.26%,-19.58%
Environment and animals,73.33%,45,"$36,968,935",2.86%,-43.02%
Health,81.48%,108,"$202,742,988",3.35%,-44.43%
Hospitals,70.00%,10,"$7,745,285",7.44%,-6.41%
Human services,82.34%,436,"$1,142,209,969",4.74%,-44.42%
"International, foreign affairs",83.33%,6,"$1,145,140",3.73%,-59.79%
"Public, societal benefit",82.76%,87,"$135,359,970",5.88%,-39.76%
Religion-related,76.00%,25,"$5,343,782",12.67%,-10.86%
Unclassified,81.31%,214,"$496,804,892",3.03%,-25.73%
Universities,85.71%,14,"$136,301,278",2.59%,-28.40%
Total,81.13%,"1,134","$2,354,776,663",4.29%,-36.44%
