Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,79.55%,494,"$74,100,031",4.12%,-40.63%
$10M or more,72.90%,262,"$4,096,693,005",2.73%,-11.35%
$1M to $4.9M,78.21%,491,"$454,852,843",5.33%,-26.98%
$500K to $999K,81.68%,322,"$103,294,832",3.95%,-32.75%
$5M to $9.9M,79.86%,139,"$424,461,848",2.34%,-28.12%
Less than $100K,69.64%,56,"$5,608,003",32.85%,-19.11%
Total,78.29%,"1,764","$5,159,010,562",4.12%,-27.73%
