Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Nevada,80.80%,448,"$1,168,889,699",2.67%,-35.76%
Carson City,85.00%,20,"$51,478,693",9.09%,-22.54%
Churchill County,75.00%,8,"$11,781,240",8.99%,-26.75%
Clark County,80.00%,230,"$673,227,933",0.70%,-34.99%
Douglas County,81.25%,16,"$27,454,334",6.62%,-28.54%
Elko County,86.67%,15,"$8,579,415",2.69%,-45.66%
Esmeralda County,0.00%,1,"$446,618",20.05%,10.29%
Humboldt County,100.00%,4,"$1,710,253",10.03%,-58.05%
Lincoln County,100.00%,1,"$22,007",-279.91%,-310.33%
Lyon County,80.00%,5,"$8,981,792",-2.14%,-23.65%
Mineral County,100.00%,1,"$55,000",-6.43%,-20.30%
Nye County,100.00%,6,"$7,488,960",1.45%,-88.37%
Pershing County,50.00%,2,"$665,225",26.72%,-23.29%
Storey County,80.00%,5,"$15,645,478",4.61%,-38.40%
Washoe County,80.47%,128,"$356,509,411",4.78%,-34.56%
White Pine County,83.33%,6,"$4,843,340",5.99%,-71.84%
