Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Ohio,80.57%,"3,715","$19,521,249,592",2.58%,-29.68%
10th Congressional district,76.25%,240,"$452,290,438",2.55%,-24.50%
11th Congressional district,83.33%,426,"$1,529,808,007",2.58%,-32.41%
12th Congressional district,76.42%,212,"$300,886,986",4.02%,-22.34%
13th Congressional district,83.58%,268,"$527,849,898",0.26%,-30.63%
14th Congressional district,78.01%,141,"$184,677,188",3.98%,-23.87%
15th Congressional district,75.36%,211,"$483,060,419",5.49%,-30.64%
1st Congressional district,74.92%,311,"$989,659,476",2.58%,-19.74%
2nd Congressional district,73.83%,149,"$312,745,307",4.00%,-17.92%
3rd Congressional district,91.96%,560,"$12,886,829,705",-1.61%,-62.37%
4th Congressional district,79.85%,268,"$296,785,232",2.34%,-33.37%
5th Congressional district,80.31%,193,"$168,927,998",7.20%,-21.76%
6th Congressional district,77.07%,205,"$321,906,795",4.77%,-19.91%
7th Congressional district,70.00%,130,"$318,550,414",7.82%,-16.41%
8th Congressional district,70.83%,120,"$110,259,144",8.28%,-17.48%
9th Congressional district,85.05%,281,"$637,012,585",-0.99%,-29.68%
