Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Maine,73.61%,773,"$1,188,375,706",3.18%,-17.14%
Androscoggin County,79.63%,54,"$108,675,124",2.64%,-24.52%
Aroostook County,82.76%,29,"$52,586,975",3.07%,-21.94%
Cumberland County,75.98%,229,"$350,090,628",1.82%,-17.45%
Franklin County,50.00%,16,"$12,338,594",9.23%,-1.61%
Hancock County,67.21%,61,"$139,182,097",1.15%,-13.54%
Kennebec County,84.06%,69,"$177,879,519",3.06%,-33.15%
Knox County,63.33%,30,"$9,600,526",11.48%,-11.91%
Lincoln County,64.71%,34,"$17,520,287",5.16%,-12.51%
Oxford County,68.00%,25,"$11,102,269",9.61%,-7.13%
Penobscot County,69.14%,81,"$183,280,849",3.13%,-9.70%
Piscataquis County,75.00%,4,"$169,213",-1.74%,-16.49%
Sagadahoc County,52.94%,17,"$13,580,701",5.27%,-5.50%
Somerset County,68.42%,19,"$12,088,997",8.27%,-18.97%
Waldo County,73.33%,15,"$11,016,167",3.52%,-8.73%
Washington County,92.86%,28,"$24,637,096",1.13%,-27.91%
York County,72.58%,62,"$64,626,664",2.76%,-16.91%
