Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Missouri,77.66%,"1,674","$3,971,884,540",3.11%,-21.95%
1st Congressional district,80.93%,430,"$1,696,214,422",0.56%,-22.65%
2nd Congressional district,78.76%,113,"$124,618,601",-0.50%,-18.12%
3rd Congressional district,75.19%,129,"$247,890,342",6.79%,-21.45%
4th Congressional district,81.18%,170,"$262,285,865",5.59%,-30.26%
5th Congressional district,77.52%,307,"$766,364,831",2.60%,-19.74%
6th Congressional district,71.08%,204,"$194,327,754",4.83%,-20.59%
7th Congressional district,71.97%,157,"$394,312,950",5.54%,-19.25%
8th Congressional district,80.49%,164,"$285,869,775",5.41%,-28.48%
