Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",50.00%,20,"$3,699,316",15.46%,-3.32%
Education,65.62%,32,"$70,368,471",3.73%,-5.50%
Environment and animals,72.73%,11,"$2,620,468",10.11%,-28.51%
Health,64.58%,48,"$36,423,725",12.50%,-11.25%
Hospitals,59.09%,22,"$28,032,645",2.32%,-2.72%
Human services,76.74%,129,"$73,424,492",5.51%,-22.17%
"Public, societal benefit",76.67%,30,"$10,493,410",8.27%,-25.84%
Religion-related,50.00%,4,"$797,384",6.91%,0.02%
Unclassified,74.51%,102,"$148,359,479",3.45%,-14.73%
Universities,25.00%,4,"$29,090,950",12.87%,5.52%
Total,70.65%,402,"$403,310,340",5.06%,-13.97%
