Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Georgia,78.29%,"1,764","$5,159,010,562",4.12%,-27.73%
Appling County,100.00%,2,"$672,247",2.82%,-41.96%
Bacon County,100.00%,1,"$1,431,863",-1.65%,-4.72%
Baldwin County,83.33%,6,"$6,318,197",11.96%,-58.72%
Banks County,100.00%,2,"$464,880",5.24%,-78.28%
Barrow County,66.67%,6,"$1,546,350",23.46%,-17.27%
Bartow County,80.00%,10,"$25,836,905",5.70%,-49.26%
Ben Hill County,100.00%,1,"$20,000",7.38%,-1.29%
Berrien County,100.00%,1,"$150,006",8.69%,-43.36%
Bibb County,72.13%,61,"$132,859,933",4.72%,-13.32%
Brantley County,100.00%,1,"$13,824",-5.30%,-30.60%
Brooks County,40.00%,5,"$4,805,565",27.77%,24.52%
Bryan County,100.00%,1,"$86,906",-16.42%,-116.41%
Bulloch County,71.43%,14,"$32,019,713",5.26%,-62.74%
Burke County,100.00%,1,"$29,790",-85.66%,-131.65%
Butts County,100.00%,1,"$8,749,748",-1.18%,-101.01%
Camden County,83.33%,6,"$1,189,374",9.87%,-22.01%
Carroll County,75.00%,12,"$15,427,252",4.19%,-10.95%
Catoosa County,100.00%,7,"$4,774,566",-6.66%,-62.93%
Chatham County,76.92%,78,"$110,304,195",2.94%,-32.69%
Chattooga County,0.00%,1,"$10,000",11.69%,8.99%
Cherokee County,77.78%,18,"$25,681,770",4.72%,-13.11%
Clarke County,91.89%,37,"$254,299,707",3.48%,-41.31%
Clayton County,90.48%,21,"$32,701,255",-2.82%,-51.01%
Cobb County,74.44%,90,"$96,089,845",5.13%,-20.72%
Coffee County,100.00%,3,"$6,559,717",-1.65%,-82.42%
Colquitt County,71.43%,7,"$36,774,652",10.84%,-21.65%
Columbia County,57.14%,7,"$8,707,375",15.12%,-32.73%
Cook County,100.00%,1,"$237,007",28.51%,-27.25%
Coweta County,90.91%,11,"$15,078,840",11.66%,-33.99%
Crisp County,83.33%,6,"$3,877,239",12.71%,-19.26%
Dade County,100.00%,4,"$8,751,568",-4.22%,-58.65%
Dawson County,100.00%,2,"$421,873",2.97%,-82.99%
DeKalb County,75.68%,185,"$1,455,450,113",3.84%,-29.28%
Decatur County,83.33%,6,"$933,810",8.06%,-16.33%
Dodge County,100.00%,1,"$181,638",12.18%,-60.87%
Dougherty County,94.12%,34,"$44,750,150",3.13%,-51.27%
Douglas County,80.00%,15,"$6,223,600",6.38%,-26.20%
Early County,100.00%,3,"$6,049,096",-11.31%,-80.90%
Effingham County,100.00%,2,"$8,213,384",-4.99%,-58.31%
Emanuel County,60.00%,5,"$11,978,601",6.93%,-42.84%
Evans County,100.00%,1,"$2,530,040",5.73%,-6.38%
Fannin County,57.14%,7,"$5,391,024",8.43%,-2.91%
Fayette County,88.89%,18,"$10,292,321",5.35%,-40.40%
Floyd County,66.67%,27,"$20,358,756",6.22%,-25.52%
Forsyth County,78.57%,14,"$13,337,688",6.19%,-24.11%
Franklin County,66.67%,3,"$1,946,398",2.20%,-2.61%
Fulton County,75.17%,435,"$1,822,071,364",3.90%,-20.49%
Gilmer County,75.00%,4,"$658,669",25.64%,-8.75%
Glascock County,100.00%,1,"$203,125",-11.20%,-109.09%
Glynn County,83.33%,18,"$57,679,461",9.94%,-48.64%
Gordon County,100.00%,6,"$2,092,107",-1.85%,-60.97%
