Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Oregon,79.75%,"1,748","$4,100,898,731",5.15%,-31.71%
Baker County,64.29%,14,"$17,021,355",15.75%,-19.33%
Benton County,77.59%,58,"$53,257,023",6.03%,-15.07%
Clackamas County,76.92%,91,"$192,017,190",3.45%,-32.81%
Clatsop County,68.97%,29,"$19,001,437",10.59%,-19.87%
Columbia County,93.75%,16,"$38,368,280",0.91%,-47.77%
Coos County,82.61%,23,"$54,329,713",2.62%,-56.71%
Crook County,77.78%,9,"$23,518,516",7.00%,-32.34%
Curry County,72.73%,11,"$2,257,022",2.61%,-49.83%
Deschutes County,80.46%,87,"$140,836,444",5.59%,-23.05%
Douglas County,86.11%,36,"$75,420,664",1.26%,-40.08%
Gilliam County,100.00%,2,"$232,545",-13.06%,-63.62%
Grant County,100.00%,5,"$11,649,044",9.95%,-69.72%
Harney County,85.71%,7,"$11,915,884",11.85%,-51.79%
Hood River County,83.33%,12,"$25,877,570",11.06%,-32.23%
Jackson County,81.90%,105,"$192,332,930",3.42%,-55.76%
Jefferson County,0.00%,2,"$97,000",54.59%,49.13%
Josephine County,81.48%,27,"$24,928,149",9.27%,-30.08%
Klamath County,92.31%,39,"$50,052,629",6.70%,-43.96%
Lake County,75.00%,12,"$3,638,454",2.65%,-24.67%
Lane County,84.05%,163,"$314,847,815",3.66%,-25.63%
Lincoln County,80.00%,25,"$20,528,803",7.48%,-43.38%
Linn County,68.75%,32,"$63,680,515",4.46%,-15.50%
Malheur County,85.71%,14,"$20,980,943",8.21%,-55.83%
Marion County,75.68%,111,"$242,471,836",9.16%,-30.65%
Morrow County,100.00%,8,"$8,428,313",-1.01%,-30.98%
Multnomah County,81.41%,554,"$2,068,996,627",3.44%,-31.65%
Polk County,42.11%,19,"$10,533,592",10.64%,4.80%
Sherman County,100.00%,1,"$52,901",40.05%,-33.77%
Tillamook County,70.59%,17,"$12,758,764",5.46%,-28.56%
Umatilla County,63.16%,19,"$42,579,367",10.35%,-16.77%
Union County,78.57%,14,"$24,266,225",7.84%,-42.76%
Wallowa County,80.00%,10,"$12,156,467",15.36%,-34.84%
Wasco County,83.33%,18,"$24,470,749",0.66%,-27.23%
Washington County,80.65%,124,"$262,715,575",6.55%,-34.12%
Wheeler County,100.00%,2,"$2,208,632",20.73%,-61.78%
Yamhill County,65.62%,32,"$32,469,758",11.69%,-6.75%
