Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Georgia,78.29%,"1,764","$5,159,010,562",4.12%,-27.73%
10th Congressional district,85.71%,84,"$301,059,410",3.57%,-26.43%
11th Congressional district,75.61%,82,"$112,316,021",5.54%,-17.55%
12th Congressional district,77.14%,105,"$227,342,936",4.87%,-42.84%
13th Congressional district,89.39%,66,"$57,503,231",2.43%,-63.13%
14th Congressional district,79.01%,81,"$54,952,966",5.15%,-46.93%
1st Congressional district,80.47%,128,"$220,732,349",4.06%,-31.76%
2nd Congressional district,80.21%,187,"$329,858,972",5.53%,-27.71%
3rd Congressional district,78.05%,82,"$76,539,260",5.31%,-32.45%
4th Congressional district,78.57%,112,"$313,316,846",3.66%,-33.83%
5th Congressional district,76.67%,420,"$2,835,077,686",3.10%,-26.45%
6th Congressional district,76.64%,137,"$261,541,648",4.68%,-23.23%
7th Congressional district,71.95%,82,"$67,323,743",7.37%,-9.60%
8th Congressional district,79.81%,104,"$158,535,951",4.13%,-21.21%
9th Congressional district,73.40%,94,"$142,909,543",5.52%,-19.41%
