Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",70.29%,138,"$56,582,342",5.49%,-14.78%
Education,80.16%,247,"$997,573,844",4.72%,-23.49%
Environment and animals,69.23%,65,"$20,487,128",5.86%,-23.90%
Health,81.76%,148,"$294,481,537",2.22%,-35.89%
Hospitals,58.62%,29,"$111,213,651",3.23%,-3.85%
Human services,82.33%,583,"$590,249,873",4.45%,-37.98%
"International, foreign affairs",86.67%,15,"$403,973,152",-0.29%,-42.03%
Mutual/membership benefit,100.00%,3,"$3,549,124",3.62%,-90.90%
"Public, societal benefit",77.27%,132,"$329,218,896",6.78%,-45.49%
Religion-related,71.43%,56,"$50,229,373",4.54%,-15.17%
Unclassified,77.02%,322,"$1,039,657,257",3.49%,-27.90%
Universities,65.38%,26,"$1,261,794,385",3.94%,-10.00%
Total,78.29%,"1,764","$5,159,010,562",4.12%,-27.73%
