Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.57%,140,"$15,901,305",6.68%,-24.39%
$10M or more,53.62%,69,"$250,378,483",5.43%,-1.63%
$1M to $4.9M,74.51%,102,"$74,672,674",2.90%,-17.50%
$500K to $999K,77.08%,48,"$15,990,525",6.24%,-28.68%
$5M to $9.9M,68.18%,22,"$45,568,473",3.08%,-4.11%
Less than $100K,42.86%,21,"$798,880",37.67%,13.40%
Total,70.65%,402,"$403,310,340",5.06%,-13.97%
