Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Pennsylvania,78.00%,"5,518","$12,403,860,473",2.89%,-22.38%
10th Congressional district,76.86%,363,"$1,142,186,025",2.25%,-19.54%
11th Congressional district,77.01%,261,"$146,352,655",3.82%,-16.62%
12th Congressional district,79.92%,523,"$1,827,793,520",1.15%,-23.57%
13th Congressional district,78.15%,389,"$486,781,368",3.72%,-24.93%
14th Congressional district,74.67%,304,"$405,256,742",3.15%,-22.06%
15th Congressional district,76.36%,423,"$282,044,613",3.22%,-21.20%
16th Congressional district,84.36%,390,"$1,076,119,879",1.87%,-29.25%
17th Congressional district,78.42%,278,"$266,386,287",2.19%,-21.79%
1st Congressional district,80.95%,210,"$208,027,552",3.47%,-26.55%
2nd Congressional district,76.41%,284,"$1,276,993,096",2.98%,-22.41%
3rd Congressional district,79.19%,442,"$3,062,975,982",3.14%,-23.56%
4th Congressional district,80.83%,266,"$355,467,812",1.09%,-18.69%
5th Congressional district,77.45%,235,"$446,715,445",2.83%,-22.88%
6th Congressional district,75.95%,262,"$260,781,625",3.95%,-21.15%
7th Congressional district,80.69%,259,"$511,802,880",1.31%,-17.87%
8th Congressional district,74.22%,287,"$330,324,949",2.88%,-24.85%
9th Congressional district,73.10%,342,"$317,850,043",5.08%,-16.10%
