Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,70.49%,183,"$19,771,714",7.44%,-16.91%
$10M or more,65.33%,75,"$317,200,325",2.63%,-5.38%
$1M to $4.9M,75.15%,165,"$152,675,818",5.27%,-20.94%
$500K to $999K,85.85%,106,"$33,191,393",0.01%,-34.08%
$5M to $9.9M,81.48%,54,"$131,236,237",2.84%,-13.68%
Less than $100K,78.95%,19,"$1,824,931",15.12%,-13.39%
Total,75.08%,602,"$655,900,418",4.01%,-18.69%
