Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",70.86%,302,"$89,290,398",5.03%,-15.10%
Education,75.64%,234,"$205,490,501",2.85%,-13.17%
Environment and animals,66.88%,154,"$822,833,871",10.73%,-13.15%
Health,76.61%,171,"$641,603,599",6.06%,-27.55%
Hospitals,66.67%,18,"$153,893,474",-3.15%,-10.30%
Human services,80.36%,774,"$1,393,414,670",2.97%,-35.36%
"International, foreign affairs",78.57%,28,"$797,769,886",2.43%,-26.74%
"Public, societal benefit",82.73%,220,"$211,813,989",5.31%,-36.28%
Religion-related,74.36%,39,"$17,537,154",7.56%,-13.54%
Unclassified,79.59%,539,"$1,725,726,840",2.51%,-24.78%
Universities,73.68%,19,"$37,312,261",-1.02%,-4.77%
Total,77.46%,"2,498","$6,096,686,643",3.68%,-23.23%
