Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.49%,581,"$72,520,359",3.88%,-25.16%
$10M or more,74.87%,378,"$3,768,002,217",1.36%,-11.53%
$1M to $4.9M,75.86%,696,"$681,596,278",3.78%,-22.99%
$500K to $999K,77.89%,398,"$127,779,898",3.54%,-27.06%
$5M to $9.9M,76.02%,196,"$560,419,961",3.32%,-23.73%
Less than $100K,74.07%,81,"$13,124,178",13.72%,-34.16%
Total,76.65%,"2,330","$5,223,442,891",3.05%,-21.41%
