Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.38%,"1,067","$154,943,222",2.92%,-42.49%
$10M or more,77.45%,550,"$17,151,099,950",1.17%,-11.75%
$1M to $4.9M,81.45%,"1,024","$1,181,334,421",2.74%,-35.92%
$500K to $999K,82.10%,609,"$190,312,128",2.43%,-34.56%
$5M to $9.9M,82.89%,304,"$831,396,373",2.32%,-27.30%
Less than $100K,63.35%,161,"$12,163,498",23.19%,-17.04%
Total,80.57%,"3,715","$19,521,249,592",2.58%,-29.68%
