Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.41%,762,"$83,253,608",-0.17%,-33.65%
$10M or more,68.32%,382,"$2,850,271,738",1.49%,-7.86%
$1M to $4.9M,80.97%,662,"$605,117,465",1.17%,-27.17%
$500K to $999K,80.87%,345,"$86,286,614",0.72%,-25.98%
$5M to $9.9M,82.38%,193,"$618,883,399",0.30%,-34.72%
Less than $100K,62.04%,137,"$5,960,162",19.90%,-15.56%
Total,78.52%,"2,481","$4,249,772,986",1.11%,-24.51%
