Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,72.96%,159,"$17,496,281",4.69%,-23.56%
$10M or more,77.92%,77,"$725,486,375",1.58%,-10.84%
$1M to $4.9M,80.54%,149,"$140,950,173",3.53%,-27.16%
$500K to $999K,80.28%,71,"$19,992,577",1.36%,-42.42%
$5M to $9.9M,83.67%,49,"$125,200,730",1.00%,-19.21%
Less than $100K,31.82%,22,"$578,412",39.61%,24.98%
Total,76.09%,527,"$1,029,704,548",2.99%,-20.19%
