Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,78.44%,"1,790","$241,029,960",3.06%,-28.58%
$10M or more,80.34%,"1,567","$26,163,135,278",0.67%,-13.66%
$1M to $4.9M,81.61%,"2,197","$1,887,628,970",1.64%,-26.12%
$500K to $999K,82.13%,"1,136","$326,856,649",2.19%,-30.19%
$5M to $9.9M,83.33%,738,"$1,833,278,094",0.90%,-25.26%
Less than $100K,68.32%,262,"$24,223,258",16.93%,-23.66%
Total,80.40%,"7,690","$30,476,152,209",1.54%,-23.53%
