Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.30%,"1,156","$937,400,524",5.38%,-17.34%
Education,79.88%,"1,208","$9,962,805,554",5.55%,-58.88%
Environment and animals,70.85%,422,"$792,574,481",4.19%,-16.61%
Health,79.54%,694,"$5,033,111,226",3.58%,-29.61%
Hospitals,62.75%,51,"$458,776,580",1.04%,-6.14%
Human services,81.06%,"2,688","$18,099,827,514",2.11%,-44.23%
"International, foreign affairs",68.75%,80,"$319,444,110",2.07%,-18.15%
Mutual/membership benefit,100.00%,1,"$1,156,451",-1.68%,-101.68%
"Public, societal benefit",76.42%,738,"$1,490,866,539",4.39%,-27.40%
Religion-related,67.46%,126,"$248,581,253",6.06%,-18.38%
Unclassified,79.42%,"1,778","$8,898,011,471",3.56%,-33.61%
Universities,60.24%,83,"$2,726,796,517",2.45%,-3.20%
Total,78.40%,"9,025","$48,969,352,220",3.69%,-30.40%
