Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.64%,311,"$45,286,492",2.29%,-53.24%
$10M or more,77.71%,175,"$2,205,811,508",3.32%,-20.12%
$1M to $4.9M,86.33%,300,"$339,901,763",-0.22%,-49.57%
$500K to $999K,83.53%,170,"$65,388,385",1.08%,-49.30%
$5M to $9.9M,83.52%,91,"$313,005,300",3.44%,-32.12%
Less than $100K,64.86%,37,"$3,267,847",28.25%,-15.85%
Total,82.47%,"1,084","$2,972,661,295",1.87%,-44.78%
