Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
California,78.40%,"9,025","$48,969,352,220",3.69%,-30.40%
10th Congressional district,73.28%,131,"$305,694,820",5.10%,-15.57%
11th Congressional district,83.17%,731,"$3,437,084,588",3.25%,-31.43%
12th Congressional district,76.48%,608,"$3,251,638,457",3.33%,-27.70%
13th Congressional district,86.05%,43,"$241,019,684",3.80%,-41.89%
14th Congressional district,77.48%,111,"$243,555,808",3.11%,-46.40%
15th Congressional district,74.15%,205,"$2,178,003,468",4.92%,-24.14%
16th Congressional district,72.41%,203,"$679,515,959",4.19%,-16.07%
17th Congressional district,69.49%,118,"$636,827,023",4.71%,-22.06%
18th Congressional district,78.53%,191,"$669,999,383",5.83%,-32.40%
19th Congressional district,72.95%,207,"$984,703,603",5.45%,-23.94%
1st Congressional district,90.23%,215,"$960,784,229",4.30%,-59.32%
20th Congressional district,82.98%,94,"$731,597,508",3.91%,-30.82%
21st Congressional district,77.24%,145,"$1,104,642,866",4.88%,-28.29%
22nd Congressional district,82.22%,45,"$242,098,357",2.70%,-48.90%
23rd Congressional district,80.65%,93,"$1,325,837,064",3.19%,-68.71%
24th Congressional district,71.97%,289,"$901,294,838",3.01%,-17.26%
25th Congressional district,80.00%,70,"$240,997,283",9.21%,-25.43%
26th Congressional district,78.08%,146,"$574,808,175",2.06%,-34.40%
27th Congressional district,72.37%,76,"$663,448,872",5.09%,-64.70%
28th Congressional district,77.17%,184,"$1,616,841,793",3.50%,-28.12%
29th Congressional district,76.92%,104,"$577,270,828",4.24%,-34.77%
2nd Congressional district,80.60%,433,"$1,004,618,860",3.14%,-30.56%
30th Congressional district,74.79%,242,"$933,110,442",2.77%,-17.62%
31st Congressional district,89.17%,120,"$1,697,918,991",0.17%,-71.66%
32nd Congressional district,72.48%,149,"$1,836,693,500",2.72%,-26.45%
33rd Congressional district,85.71%,84,"$336,248,717",3.12%,-61.65%
34th Congressional district,80.34%,356,"$2,577,073,193",5.48%,-35.13%
35th Congressional district,72.22%,72,"$731,902,020",3.05%,-33.96%
36th Congressional district,79.65%,231,"$1,174,054,228",1.40%,-31.10%
37th Congressional district,80.25%,238,"$3,327,898,841",3.05%,-33.96%
38th Congressional district,67.57%,37,"$252,566,784",5.93%,-12.31%
39th Congressional district,81.82%,77,"$263,798,986",2.88%,-47.88%
3rd Congressional district,79.41%,204,"$509,157,105",3.73%,-25.27%
40th Congressional district,71.43%,77,"$195,221,264",6.15%,-21.42%
41st Congressional district,71.88%,96,"$167,890,896",4.88%,-17.87%
42nd Congressional district,84.48%,232,"$461,330,079",1.62%,-61.82%
43rd Congressional district,86.49%,74,"$334,630,743",3.02%,-49.86%
44th Congressional district,82.86%,105,"$450,738,684",4.40%,-33.56%
45th Congressional district,74.55%,55,"$154,946,124",0.73%,-15.74%
46th Congressional district,79.10%,134,"$1,019,197,828",5.77%,-27.89%
47th Congressional district,74.47%,141,"$307,854,217",1.79%,-15.97%
48th Congressional district,76.77%,99,"$513,826,203",7.19%,-31.17%
49th Congressional district,69.03%,113,"$245,858,403",4.79%,-19.49%
4th Congressional district,80.68%,264,"$939,973,937",3.46%,-26.64%
50th Congressional district,76.21%,269,"$1,190,031,596",3.60%,-27.00%
51st Congressional district,78.37%,208,"$2,062,616,311",3.67%,-27.16%
52nd Congressional district,79.82%,109,"$697,424,043",2.57%,-31.85%
5th Congressional district,74.30%,179,"$539,422,114",5.58%,-29.86%
6th Congressional district,84.07%,182,"$1,722,586,141",2.53%,-61.67%
7th Congressional district,76.92%,221,"$783,447,287",6.75%,-26.80%
8th Congressional district,77.70%,139,"$246,074,467",3.82%,-36.51%
9th Congressional district,81.58%,76,"$723,575,610",4.83%,-48.03%
