Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Indiana,77.50%,"1,809","$3,227,236,787",3.09%,-25.54%
Adams County,75.00%,4,"$313,447",9.99%,-7.72%
Allen County,79.38%,97,"$202,507,309",0.71%,-16.78%
Bartholomew County,86.11%,36,"$36,778,380",-2.57%,-36.03%
Blackford County,100.00%,2,"$94,500",-15.75%,-70.28%
Boone County,76.47%,17,"$13,127,533",11.58%,-9.26%
Brown County,44.44%,9,"$637,977",19.61%,0.32%
Carroll County,100.00%,1,"$16,500",-53.56%,-60.70%
Cass County,60.00%,5,"$10,403,780",6.97%,-1.55%
Clark County,94.12%,17,"$36,029,748",0.00%,-49.08%
Clay County,50.00%,4,"$124,694",34.75%,7.80%
Clinton County,100.00%,7,"$1,359,727",-25.98%,-48.36%
Crawford County,100.00%,2,"$250,193",14.90%,-29.77%
Daviess County,50.00%,8,"$1,621,042",21.75%,-8.03%
DeKalb County,53.85%,13,"$3,647,108",9.41%,-4.03%
Dearborn County,91.67%,24,"$25,565,260",0.50%,-46.30%
Decatur County,66.67%,9,"$2,421,205",20.49%,-27.88%
Delaware County,79.41%,34,"$53,146,070",3.12%,-21.65%
Dubois County,76.92%,13,"$9,489,777",2.48%,-36.02%
Elkhart County,78.72%,47,"$240,982,746",3.47%,-21.34%
Fayette County,75.00%,4,"$644,968",-9.62%,-45.98%
Floyd County,80.00%,20,"$18,074,802",3.79%,-39.35%
Fountain County,100.00%,2,"$9,759,233",21.53%,-68.55%
Franklin County,75.00%,4,"$3,496,792",11.68%,-8.58%
Fulton County,66.67%,9,"$1,065,836",14.03%,-15.97%
Gibson County,71.43%,7,"$2,899,157",12.52%,-15.17%
Grant County,83.33%,18,"$22,830,525",-2.96%,-29.42%
Greene County,25.00%,4,"$1,123,727",24.27%,11.62%
Hamilton County,79.37%,63,"$56,508,322",2.63%,-21.72%
Hancock County,77.78%,9,"$8,475,677",9.96%,-29.13%
Harrison County,75.00%,12,"$8,505,929",5.03%,-29.47%
Hendricks County,82.35%,17,"$23,450,676",7.53%,-29.58%
Henry County,100.00%,2,"$202,626",4.47%,-28.07%
Howard County,78.57%,14,"$24,924,150",7.06%,-29.66%
Huntington County,69.23%,13,"$13,605,720",9.53%,-18.18%
Jackson County,92.31%,13,"$3,583,826",-3.32%,-39.14%
Jasper County,85.71%,7,"$2,145,730",11.71%,-50.17%
Jay County,66.67%,3,"$1,662,737",5.17%,-39.23%
Jefferson County,56.25%,16,"$22,783,494",7.32%,-6.30%
Jennings County,66.67%,3,"$195,499",21.69%,-0.47%
Johnson County,70.59%,17,"$8,020,844",5.76%,-13.93%
Knox County,80.00%,10,"$19,406,040",6.70%,-8.51%
Kosciusko County,76.19%,21,"$18,180,167",1.67%,-12.01%
LaGrange County,70.00%,10,"$2,040,530",4.77%,-21.83%
LaPorte County,82.61%,23,"$22,976,024",0.92%,-50.71%
Lake County,82.42%,91,"$295,281,813",1.61%,-46.85%
Lawrence County,92.86%,14,"$22,754,695",-0.10%,-58.98%
Madison County,77.78%,18,"$22,274,918",0.63%,-26.53%
Marion County,72.91%,406,"$1,188,572,773",4.49%,-22.59%
Marshall County,77.78%,9,"$2,336,872",-4.29%,-10.26%
Martin County,100.00%,1,"$174,088",18.72%,-81.28%
Miami County,88.89%,9,"$6,187,046",6.71%,-18.80%
Monroe County,75.44%,57,"$50,710,655",0.62%,-14.44%
Montgomery County,76.92%,13,"$3,417,233",8.39%,-19.26%
Morgan County,76.92%,13,"$2,931,306",-1.11%,-56.29%
Newton County,0.00%,1,"$329,386",37.03%,3.49%
Noble County,76.47%,17,"$8,143,931",1.43%,-37.70%
Ohio County,57.14%,7,"$696,263",10.98%,-41.02%
Orange County,100.00%,5,"$2,500,102",-8.12%,-56.44%
Owen County,50.00%,2,"$72,000",4.08%,-0.06%
Parke County,100.00%,3,"$2,051,443",1.97%,-32.70%
Perry County,85.71%,7,"$8,914,860",1.98%,-5.96%
Pike County,100.00%,1,"$196,144",53.25%,-22.20%
Porter County,84.62%,39,"$93,909,619",5.50%,-29.49%
Posey County,100.00%,7,"$1,208,810",10.24%,-33.29%
Pulaski County,100.00%,1,"$329,650",-2.99%,-64.07%
Putnam County,83.33%,6,"$2,241,033",-0.22%,-13.70%
Randolph County,100.00%,4,"$1,228,762",-1.50%,-86.41%
Ripley County,78.57%,14,"$6,297,013",3.15%,-41.22%
Rush County,85.71%,7,"$2,850,116",-2.79%,-76.23%
Scott County,100.00%,6,"$1,821,758",3.78%,-53.51%
Shelby County,72.73%,11,"$6,158,888",1.09%,-19.46%
Spencer County,50.00%,4,"$359,908",23.42%,-13.74%
St. Joseph County,77.78%,99,"$280,440,199",0.58%,-42.05%
Starke County,83.33%,6,"$1,876,071",3.35%,-35.75%
Steuben County,63.64%,11,"$3,556,370",10.52%,-14.01%
Sullivan County,100.00%,3,"$8,091,188",-3.42%,-85.12%
Switzerland County,100.00%,10,"$2,050,153",0.38%,-50.91%
Tippecanoe County,84.78%,46,"$70,097,302",1.02%,-30.57%
Tipton County,100.00%,2,"$70,000",-2.08%,-13.77%
Union County,100.00%,5,"$2,074,168",-4.92%,-59.93%
Vanderburgh County,76.62%,77,"$90,428,437",7.95%,-30.30%
Vermillion County,100.00%,2,"$7,131,630",19.06%,-15.09%
Vigo County,83.78%,37,"$64,983,573",2.51%,-39.95%
Wabash County,62.50%,16,"$8,521,827",4.60%,-20.79%
Warren County,0.00%,1,"$16,281",30.80%,5.41%
Warrick County,66.67%,9,"$4,000,332",19.74%,-17.66%
Washington County,33.33%,3,"$310,400",26.16%,10.44%
Wayne County,84.21%,19,"$9,743,450",-2.07%,-33.73%
Wells County,87.50%,8,"$1,997,869",-0.43%,-16.25%
White County,100.00%,5,"$1,400,219",-1.56%,-21.81%
Whitley County,57.14%,7,"$1,416,206",9.01%,-8.20%
