Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",76.00%,150,"$37,656,772",-1.31%,-15.87%
Education,76.51%,166,"$354,564,753",3.73%,-25.18%
Environment and animals,52.69%,93,"$40,584,590",14.29%,-0.81%
Health,72.78%,180,"$563,004,287",4.79%,-12.87%
Hospitals,45.71%,35,"$50,596,043",6.44%,2.12%
Human services,75.50%,600,"$756,557,896",4.64%,-19.27%
"International, foreign affairs",80.00%,5,"$9,258,399",6.54%,-26.93%
Mutual/membership benefit,100.00%,3,"$11,651,326",0.72%,-66.86%
"Public, societal benefit",73.33%,150,"$243,223,312",7.90%,-26.13%
Religion-related,74.07%,27,"$15,032,420",-1.14%,-15.57%
Unclassified,77.20%,443,"$739,304,887",3.07%,-21.02%
Universities,83.33%,24,"$259,536,888",-2.24%,-5.82%
Total,74.04%,"1,876","$3,080,971,573",3.92%,-17.66%
