Size,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
$100K to $499K,82.21%,444,"$52,815,188",2.13%,-28.13%
$10M or more,70.17%,352,"$3,010,479,724",1.18%,-9.27%
$1M to $4.9M,80.13%,468,"$449,517,967",3.38%,-27.37%
$500K to $999K,80.36%,224,"$78,764,927",4.74%,-30.14%
$5M to $9.9M,76.15%,109,"$371,186,127",6.91%,-22.22%
Less than $100K,64.94%,77,"$9,120,607",20.81%,-12.75%
Total,77.66%,"1,674","$3,971,884,540",3.11%,-21.95%
