Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Montana,75.08%,602,"$655,900,418",4.01%,-18.69%
Beaverhead County,85.71%,7,"$1,087,482",0.94%,-36.74%
Big Horn County,60.00%,5,"$15,043,345",1.73%,-21.65%
Blaine County,100.00%,2,"$386,067",-6.35%,-29.52%
Carbon County,66.67%,9,"$2,595,986",7.49%,-10.56%
Carter County,50.00%,2,"$288,604",5.07%,-4.69%
Cascade County,82.93%,41,"$68,464,508",6.42%,-24.02%
Chouteau County,100.00%,2,"$13,806,068",16.13%,-51.06%
Custer County,85.71%,7,"$5,991,794",0.43%,-62.00%
Dawson County,50.00%,4,"$7,395,481",1.14%,-42.30%
Deer Lodge County,83.33%,6,"$8,434,752",-15.23%,-70.62%
Fallon County,75.00%,4,"$677,397",4.82%,-27.76%
Fergus County,91.67%,12,"$9,938,240",10.48%,-25.99%
Flathead County,57.14%,49,"$37,019,801",7.69%,-5.50%
Gallatin County,66.18%,68,"$37,364,041",1.88%,-8.38%
Glacier County,100.00%,6,"$16,330,477",12.35%,-56.69%
Hill County,92.31%,13,"$17,220,697",3.81%,-54.96%
Jefferson County,100.00%,3,"$1,025,511",-2.45%,-22.48%
Lake County,57.14%,14,"$36,873,425",16.97%,-24.88%
Lewis and Clark County,76.36%,55,"$69,628,558",0.93%,-14.83%
Liberty County,100.00%,2,"$672,170",-6.18%,-21.22%
Lincoln County,78.57%,14,"$13,954,028",2.84%,-57.57%
Madison County,75.00%,4,"$543,132",-8.98%,-40.19%
McCone County,0.00%,1,"$11,100",0.99%,0.77%
Meagher County,50.00%,2,"$142,597",-5.86%,-7.14%
Mineral County,100.00%,1,"$481,559",3.35%,-0.75%
Missoula County,72.29%,83,"$98,417,115",5.47%,-17.44%
Musselshell County,66.67%,3,"$5,408,674",3.81%,-16.42%
Park County,82.35%,17,"$7,900,960",-0.57%,-15.07%
Petroleum County,50.00%,2,"$895,837",64.73%,-6.58%
Phillips County,100.00%,3,"$1,292,483",-3.64%,-89.64%
Pondera County,100.00%,3,"$1,786,417",-13.75%,-110.18%
Powell County,60.00%,5,"$1,851,187",4.22%,-18.24%
Ravalli County,78.95%,19,"$13,691,811",1.47%,-28.11%
Richland County,55.56%,9,"$3,256,132",9.25%,-5.23%
Roosevelt County,50.00%,4,"$14,283,255",11.15%,-30.61%
Rosebud County,100.00%,7,"$15,231,108",3.96%,-23.81%
Sanders County,100.00%,7,"$5,793,342",4.10%,-31.04%
Sheridan County,0.00%,1,"$674,868",4.86%,1.50%
Silver Bow County,84.62%,26,"$26,978,235",0.44%,-32.58%
Stillwater County,100.00%,2,"$310,838",19.86%,-32.00%
Sweet Grass County,66.67%,3,"$261,024",-0.90%,-26.07%
Toole County,100.00%,1,"$2,810,069",23.78%,-4.23%
Valley County,85.71%,7,"$5,742,577",10.46%,-13.32%
Wheatland County,0.00%,1,"$116,412",11.61%,10.58%
Yellowstone County,81.82%,66,"$83,821,254",3.54%,-18.51%
