Subsector,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
"Arts, culture, and humanities",71.01%,207,"$138,048,041",2.70%,-14.97%
Education,68.03%,147,"$182,384,564",6.39%,-9.28%
Environment and animals,68.75%,96,"$211,483,225",5.98%,-20.36%
Health,77.42%,217,"$365,298,888",3.27%,-16.83%
Hospitals,52.94%,51,"$313,050,407",3.83%,-0.86%
Human services,79.31%,759,"$1,271,545,918",3.11%,-29.91%
"International, foreign affairs",44.44%,9,"$4,866,832",12.31%,8.81%
Mutual/membership benefit,100.00%,2,"$525,968",7.80%,-30.41%
"Public, societal benefit",81.58%,190,"$619,991,569",2.27%,-42.17%
Religion-related,60.00%,40,"$60,970,583",6.36%,-17.40%
Unclassified,80.24%,587,"$1,980,448,870",2.51%,-24.06%
Universities,80.00%,25,"$74,828,026",-1.86%,-5.82%
Total,76.65%,"2,330","$5,223,442,891",3.05%,-21.41%
