Geography,Share of 990 filers with government grants at risk,Number of 990 filers with government grants,Total government grants ($),Size of operating surplus with government grants,Size of operating surplus without government grants
United States,78.17%,"93,114","$294,095,172,213",3.33%,-25.25%
Utah,81.33%,691,"$1,758,957,306",5.36%,-35.15%
Box Elder County,85.71%,7,"$9,393,218",4.09%,-62.10%
Cache County,70.59%,34,"$67,220,878",10.96%,-28.51%
Carbon County,100.00%,7,"$22,759,811",1.51%,-85.87%
Davis County,91.18%,34,"$140,888,348",6.91%,-30.21%
Duchesne County,50.00%,2,"$1,284,506",4.47%,-35.40%
Emery County,66.67%,3,"$1,711,233",26.31%,-4.74%
Garfield County,100.00%,1,"$5,000",-5.40%,-6.39%
Grand County,55.56%,18,"$7,273,885",7.88%,-9.74%
Iron County,83.33%,12,"$15,029,283",0.83%,-61.73%
Juab County,0.00%,1,"$600,340",5.15%,4.18%
Kane County,50.00%,2,"$313,454",13.01%,-2.19%
Salt Lake County,81.82%,330,"$962,667,323",3.66%,-39.52%
San Juan County,100.00%,5,"$32,231,306",6.15%,-77.50%
Sanpete County,66.67%,6,"$815,252",9.43%,-17.74%
Sevier County,100.00%,5,"$3,864,003",-12.59%,-94.07%
Summit County,72.22%,36,"$28,447,884",0.74%,-23.72%
Tooele County,75.00%,4,"$20,731,328",15.51%,-47.85%
Uintah County,66.67%,3,"$7,264,256",25.53%,-15.61%
Utah County,83.95%,81,"$221,272,326",7.64%,-56.97%
Wasatch County,85.71%,7,"$3,885,692",-4.08%,-34.67%
Washington County,80.56%,36,"$77,122,706",5.38%,-39.85%
Wayne County,100.00%,3,"$2,917,496",-6.30%,-12.60%
Weber County,88.89%,54,"$131,257,778",7.92%,-50.73%
